region,region_name,south,west,window_key,window_sha256,variant,spacing_m,phase_x_m,phase_y_m,support_radius_m,ramp_lower_deg,ramp_upper_deg,report_cell_count,support_disk_cell_count,complete_support_cell_count,stratum,mask_definition,stratum_center_count,integration_cell_count,weighted_cell_sum,equivalent_steep_area_m2,reference_equivalent_area_m2,area_ratio,fractional_departure,structural_zero
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p01,30,0,15,300,25,35,9983764,317,9983685,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,23442,23442,9102.469776075237,8192222.798467713,8213098.5427078605,0.9974582377002305,0.002541762299769549,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p01,30,0,15,300,25,35,9983764,317,9983685,permafrost,outside_glacier_pzi_ge_0.1,928,928,576.2871640532271,518658.4476479044,521071.37617101864,0.9953692936640559,0.0046307063359440894,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p11,30,15,15,300,25,35,9983737,317,9983668,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,23485,23485,9120.531502289137,8208478.352060224,8213098.5427078605,0.99943746070699,0.0005625392930100243,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,p11,30,15,15,300,25,35,9983737,317,9983668,permafrost,outside_glacier_pzi_ge_0.1,930,930,577.8876743952426,520098.90695571835,521071.37617101864,0.9981337120790509,0.0018662879209490743,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,r90,90,0,0,300,25,35,1109191,37,1109178,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,2613,2613,986.4464566605959,7990216.298950827,8213098.5427078605,0.972862587414719,0.027137412585281045,no
18,New Zealand,-44,171,rgi7.0|18|south=-44|west=+171,1705b06330274ae2555e87f554f34448efb0431a9eaec5d1b498401eb969a11b,r90,90,0,0,300,25,35,1109191,37,1109178,permafrost,outside_glacier_pzi_ge_0.1,104,104,60.93387283658665,493564.36997635185,521071.37617101864,0.9472106750580005,0.05278932494199955,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p00,30,0,0,300,25,35,12055784,317,12055784,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,56073,56073,17223.642361455415,15501278.125309873,15501278.125309873,1.0,0.0,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p00,30,0,0,300,25,35,12055784,317,12055784,permafrost,outside_glacier_pzi_ge_0.1,911770,911770,330467.71454881434,297420943.0939329,297420943.0939329,1.0,0.0,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p10,30,15,0,300,25,35,12055872,317,12055872,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,56083,56083,17255.52417165556,15529971.754490005,15501278.125309873,1.0018510492456285,0.0018510492456284401,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p10,30,15,0,300,25,35,12055872,317,12055872,permafrost,outside_glacier_pzi_ge_0.1,911415,911415,330430.3264387214,297387293.7948493,297420943.0939329,0.999886863047593,0.0001131369524069555,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p01,30,0,15,300,25,35,12056046,317,12056046,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,56115,56115,17229.520595957845,15506568.536362061,15501278.125309873,1.0003412886995138,0.00034128869951374725,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p01,30,0,15,300,25,35,12056046,317,12056046,permafrost,outside_glacier_pzi_ge_0.1,912559,912559,330883.02363953006,297794721.27557707,297420943.0939329,1.001256731209833,0.0012567312098331058,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p11,30,15,15,300,25,35,12056131,317,12056131,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,56259,56259,17298.572894320445,15568715.6048884,15501278.125309873,1.004350446397605,0.004350446397604946,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,p11,30,15,15,300,25,35,12056131,317,12056131,permafrost,outside_glacier_pzi_ge_0.1,912305,912305,330872.5576300457,297785301.8670411,297420943.0939329,1.0012250609164168,0.0012250609164167392,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,r90,90,0,0,300,25,35,1339734,37,1339734,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,6236,6236,1866.8405640302499,15121408.568645025,15501278.125309873,0.9754943073987807,0.024505692601219296,no
15,South Asia East,28,96,rgi7.0|15|south=+28|west=+096,01264f80513da793366f524b7d5d40d86bf4d61750dc438e9a25831b07e8ee04,r90,90,0,0,300,25,35,1339734,37,1339734,permafrost,outside_glacier_pzi_ge_0.1,101475,101475,36017.89586831349,291744956.53333926,297420943.0939329,0.9809159822386783,0.019084017761321695,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p00,30,0,0,300,25,35,4163240,317,4163240,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,42002,42002,1628.0528840630504,1465247.5956567454,1465247.5956567454,1.0,0.0,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p00,30,0,0,300,25,35,4163240,317,4163240,permafrost,outside_glacier_pzi_ge_0.1,2083738,2083738,138080.13184700298,124272118.66230269,124272118.66230269,1.0,0.0,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p10,30,15,0,300,25,35,4163232,317,4163232,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,42044,42044,1613.6101311753378,1452249.118057804,1465247.5956567454,0.9911288183393229,0.008871181660677158,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p10,30,15,0,300,25,35,4163232,317,4163232,permafrost,outside_glacier_pzi_ge_0.1,2083767,2083767,138059.66434627637,124253697.91164874,124272118.66230269,0.9998517708489061,0.00014822915109389054,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p01,30,0,15,300,25,35,4163068,317,4163068,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,42124,42124,1628.0399118664354,1465235.9206797918,1465247.5956567454,0.9999920320790915,7.96792090848321e-06,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p01,30,0,15,300,25,35,4163068,317,4163068,permafrost,outside_glacier_pzi_ge_0.1,2083755,2083755,138284.79424909153,124456314.82418238,124272118.66230269,1.0014822002220807,0.0014822002220805741,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p11,30,15,15,300,25,35,4163065,317,4163065,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,42138,42138,1626.811692634812,1464130.523371331,1465247.5956567454,0.9992376221679355,0.0007623778320644522,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,p11,30,15,15,300,25,35,4163065,317,4163065,permafrost,outside_glacier_pzi_ge_0.1,2083703,2083703,138273.73327879503,124446359.95091553,124272118.66230269,1.0014020947778828,0.0014020947778827703,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,r90,90,0,0,300,25,35,462568,37,462568,glacier_proximity,outside_inventory_glacier_planar_distance_le_100m,4642,4642,175.125025532537,1418512.7068135496,1465247.5956567454,0.9681044425653887,0.03189555743461124,no
04,Arctic Canada South,72,-79,rgi7.0|04|south=+72|west=-079,02090dcbc3a3afe990ab7b3aab0867d085da385a9d63845203d993b808bac96b,r90,90,0,0,300,25,35,462568,37,462568,permafrost,outside_glacier_pzi_ge_0.1,231511,231511,15064.008202771161,122018466.44244641,124272118.66230269,0.9818651822780913,0.018134817721908777,no
