region,stratum,reference_equivalent_area_m2,area_90m_m2,departure_90m,phase_mean_area_m2,phase_cv,structural_zero,zero_reference_positive_variant,reference_departure_bound,reference_phase_cv_bound,usable_transfer,resolution_pass,phase_pass,window_pass
04,glacier_proximity,1465247.5956567454,1418512.7068135496,0.03189555743461124,1461715.789441418,0.003752016701846543,no,no,0.2,0.1,yes,yes,yes,yes
04,permafrost,124272118.66230269,122018466.44244641,0.018134817721908777,124357122.83726233,0.0007599479771641739,no,no,0.2,0.1,yes,yes,yes,yes
10,glacier_proximity,2808095.2198330094,2740186.1975819017,0.024183304672676348,2804103.8671102105,0.0030125549256575816,no,no,0.2,0.1,yes,yes,yes,yes
10,permafrost,289047928.70907474,277166744.99584806,0.04110454541670502,289053061.6926845,6.072320119416547e-05,no,no,0.2,0.1,yes,yes,yes,yes
15,glacier_proximity,15501278.125309873,15121408.568645025,0.024505692601219296,15526633.505262585,0.0017123695131526567,no,no,0.2,0.1,yes,yes,yes,yes
15,permafrost,297420943.0939329,291744956.53333926,0.019084017761321695,297597065.0078501,0.000649675997860654,no,no,0.2,0.1,yes,yes,yes,yes
18,glacier_proximity,8213098.5427078605,7990216.298950827,0.027137412585281045,8208520.846321165,0.0012556627202177002,no,no,0.2,0.1,yes,yes,yes,yes
18,permafrost,521071.37617101864,493564.36997635185,0.05278932494199955,520049.49869010976,0.0016884135080082372,no,no,0.2,0.1,yes,yes,yes,yes
