region,stratum,reference_equivalent_area_m2,area_90m_m2,departure_90m,phase_mean_area_m2,phase_cv,structural_zero,zero_reference_positive_variant,hard_threshold_departure_90m,reference_departure_bound,reference_phase_cv_bound,interpretation
03,glacier_proximity,3545213.5161539824,3336136.3154028463,0.05897450176088492,3549730.2177339233,0.0012266965756004167,no,no,0.2667810088095423,0.2,0.1,exposed_window_method_development_no_pass_label
03,permafrost,96149681.13593863,92550711.77683704,0.03743090269860893,96191595.56058393,0.00041199918425885624,no,no,0.2912042244823707,0.2,0.1,exposed_window_method_development_no_pass_label
07,glacier_proximity,362136.6318714776,313484.08504679875,0.13434859261060791,361471.14361448394,0.003474372859455193,no,no,0.3660463930665307,0.2,0.1,exposed_window_method_development_no_pass_label
07,permafrost,7052207.598494374,6552732.53166715,0.07082534934647429,7052365.711175295,0.00011535959634552186,no,no,0.3736517719568567,0.2,0.1,exposed_window_method_development_no_pass_label
08,glacier_proximity,946321.5814819479,911398.5280053641,0.036904001937580234,948023.9161897283,0.0010512713018338753,no,no,0.0071633237822349,0.2,0.1,exposed_window_method_development_no_pass_label
08,permafrost,97055673.7034252,94510264.32455058,0.026226281079173887,97044250.04091565,0.00024814703892946186,no,no,0.1421817427246266,0.2,0.1,exposed_window_method_development_no_pass_label
