candidate_id,event_group_id,event_name,event_date,event_year,event_latitude_deg,event_longitude_deg,grid_latitude_deg,grid_longitude_deg_east,latitude_index,longitude_index,land_fraction,model_surface_height_m,distance_km,dependence_component,component_representative,cluster_ids,cell_rank,primary_cell
taan-2015,taan-2015,Taan Fiord rock avalanche and tsunami,2015-10-17,2015,60.170000000000002,-141.18000000000001,60,219,120,876,0.84312689304351807,321.86727905273438,21.376727823279658,taan-2015,True,,3,False
taan-2015,taan-2015,Taan Fiord rock avalanche and tsunami,2015-10-17,2015,60.170000000000002,-141.18000000000001,60,218.75,120,875,0.64840126037597656,251.46026611328125,19.297590684440923,taan-2015,True,,4,False
karrat-2017,karrat-2017,Karrat Fjord rock avalanche and tsunami,2017-06-17,2017,71.643299999999996,-52.3367,71.75,307.5,73,1230,0.95613598823547363,854.717529296875,13.163769410710238,karrat-2017,True,,1,True
karrat-2017,karrat-2017,Karrat Fjord rock avalanche and tsunami,2017-06-17,2017,71.643299999999996,-52.3367,71.75,307.75,73,1231,0.95433449745178223,922.0657958984375,12.244700057855255,karrat-2017,True,,2,False
karrat-2017,karrat-2017,Karrat Fjord rock avalanche and tsunami,2017-06-17,2017,71.643299999999996,-52.3367,71.5,307.75,74,1231,0.8357231616973877,704.99615478515625,16.223049629179268,karrat-2017,True,,3,False
karrat-2017,karrat-2017,Karrat Fjord rock avalanche and tsunami,2017-06-17,2017,71.643299999999996,-52.3367,71.5,307.5,74,1230,0.83454406261444092,644.349365234375,16.936595664994957,karrat-2017,True,,4,False
elliot-creek-2020,elliot-creek-2020,Elliot Creek rockslide and lake tsunami,2020-11-28,2020,50.969999999999999,-124.61,50.75,235.5,157,942,0.99837517738342285,1464.3883056640625,25.652319005492355,elliot-creek-2020,True,,1,True
elliot-creek-2020,elliot-creek-2020,Elliot Creek rockslide and lake tsunami,2020-11-28,2020,50.969999999999999,-124.61,51,235.5,156,942,0.99750208854675293,1676.1455078125,8.3915205680290157,elliot-creek-2020,True,,2,False
elliot-creek-2020,elliot-creek-2020,Elliot Creek rockslide and lake tsunami,2020-11-28,2020,50.969999999999999,-124.61,51,235.25,156,941,0.98793423175811768,1453.644287109375,10.352170947620124,elliot-creek-2020,True,,3,False
elliot-creek-2020,elliot-creek-2020,Elliot Creek rockslide and lake tsunami,2020-11-28,2020,50.969999999999999,-124.61,50.75,235.25,157,941,0.93024599552154541,1247.995849609375,26.36264501892753,elliot-creek-2020,True,,4,False
dickson-2023,dickson-2023,Dickson Fjord rockslide and tsunami,2023-09-16,2023,72.810000000000002,-26.949999999999999,72.75,333,69,1332,0.98621690273284912,1278.2965087890625,6.8717211887032974,dickson-2023,True,cascade-dickson-2023,1,True
dickson-2023,dickson-2023,Dickson Fjord rockslide and tsunami,2023-09-16,2023,72.810000000000002,-26.949999999999999,72.75,333.25,69,1333,0.98300182819366455,1214.4654541015625,9.3731512021990202,dickson-2023,True,cascade-dickson-2023,2,False
dickson-2023,dickson-2023,Dickson Fjord rockslide and tsunami,2023-09-16,2023,72.810000000000002,-26.949999999999999,73,333,68,1332,0.93833255767822266,1196.808837890625,21.1901532235179,dickson-2023,True,cascade-dickson-2023,3,False
dickson-2023,dickson-2023,Dickson Fjord rockslide and tsunami,2023-09-16,2023,72.810000000000002,-26.949999999999999,73,333.25,68,1333,0.90801703929901123,1165.78759765625,22.115303959968205,dickson-2023,True,cascade-dickson-2023,4,False
pedersen-2024,pedersen-2024,Pedersen Glacier Lagoon rockslide and tsunami,2024-08-07,2024,59.903799999999997,-149.8246,60,210,120,840,0.95686602592468262,921.1373291015625,14.484429507705336,pedersen-2024,True,,1,True
pedersen-2024,pedersen-2024,Pedersen Glacier Lagoon rockslide and tsunami,2024-08-07,2024,59.903799999999997,-149.8246,60,210.25,120,841,0.84331667423248291,757.97003173828125,11.47506569434089,pedersen-2024,True,,2,False
pedersen-2024,pedersen-2024,Pedersen Glacier Lagoon rockslide and tsunami,2024-08-07,2024,59.903799999999997,-149.8246,59.75,210,121,840,0.51529014110565186,468.45388793945312,19.712045433004835,pedersen-2024,True,,3,False
pedersen-2024,pedersen-2024,Pedersen Glacier Lagoon rockslide and tsunami,2024-08-07,2024,59.903799999999997,-149.8246,59.75,210.25,121,841,0.34198415279388428,293.71157836914062,17.602654743165932,pedersen-2024,True,,4,False
tracy-arm-2025,tracy-arm-2025,Tracy Arm landslide and tsunami,2025-08-10,2025,57.850000000000001,-133.06999999999999,57.75,227,129,908,0.98391580581665039,1065.8546142578125,11.867883417243538,tracy-arm-2025,True,,1,True
tracy-arm-2025,tracy-arm-2025,Tracy Arm landslide and tsunami,2025-08-10,2025,57.850000000000001,-133.06999999999999,58,227,128,908,0.9774022102355957,1244.1136474609375,17.18375484154334,tracy-arm-2025,True,,2,False
tracy-arm-2025,tracy-arm-2025,Tracy Arm landslide and tsunami,2025-08-10,2025,57.850000000000001,-133.06999999999999,58,226.75,128,907,0.90084552764892578,921.04254150390625,19.777848863581234,tracy-arm-2025,True,,3,False
tracy-arm-2025,tracy-arm-2025,Tracy Arm landslide and tsunami,2025-08-10,2025,57.850000000000001,-133.06999999999999,57.75,226.75,129,907,0.78995668888092041,716.77984619140625,15.407695408423974,tracy-arm-2025,True,,4,False
yigong-2000,yigong-2000,Yigong rock avalanche,2000-04-09,2000,30.177499999999998,94.940299999999993,30,94.75,240,379,0.9968184232711792,3890.7294921875,26.921608673718023,yigong-2000,True,,1,True
yigong-2000,yigong-2000,Yigong rock avalanche,2000-04-09,2000,30.177499999999998,94.940299999999993,30,95,240,380,0.99443638324737549,3632.88623046875,20.555887588322765,yigong-2000,True,,2,False
yigong-2000,yigong-2000,Yigong rock avalanche,2000-04-09,2000,30.177499999999998,94.940299999999993,30.25,94.75,239,379,0.99328434467315674,3961.971435546875,19.984036680174736,yigong-2000,True,,3,False
yigong-2000,yigong-2000,Yigong rock avalanche,2000-04-09,2000,30.177499999999998,94.940299999999993,30.25,95,239,380,0.98074901103973389,3829.139892578125,9.8943349251536024,yigong-2000,True,,4,False
kolka-2002,kolka-2002,Kolka-Karmadon rock-ice avalanche,2002-09-20,2002,42.729999999999997,44.439999999999998,42.5,44.25,190,177,0.99958539009094238,2353.689208984375,29.930003173522771,kolka-2002,True,,1,True
kolka-2002,kolka-2002,Kolka-Karmadon rock-ice avalanche,2002-09-20,2002,42.729999999999997,44.439999999999998,42.75,44.25,189,177,0.99922549724578857,2178.20166015625,15.675116462591477,kolka-2002,True,,2,False
kolka-2002,kolka-2002,Kolka-Karmadon rock-ice avalanche,2002-09-20,2002,42.729999999999997,44.439999999999998,42.75,44.5,189,178,0.99912333488464355,2111.5029296875,5.381021784635359,kolka-2002,True,,3,False
kolka-2002,kolka-2002,Kolka-Karmadon rock-ice avalanche,2002-09-20,2002,42.729999999999997,44.439999999999998,42.5,44.5,190,178,0.99874162673950195,2397.587890625,26.041859316257582,kolka-2002,True,,4,False
steller-2005,steller-2005,Mount Steller rock-ice avalanche,2005-09-14,2005,60.520000000000003,-143.09,60.5,217,118,868,0.99967992305755615,1089.8748779296875,5.4051299343559673,steller-2005,True,,1,True
steller-2005,steller-2005,Mount Steller rock-ice avalanche,2005-09-14,2005,60.520000000000003,-143.09,60.5,216.75,118,867,0.9989471435546875,1135.6932373046875,9.0360362694290615,steller-2005,True,,2,False
steller-2005,steller-2005,Mount Steller rock-ice avalanche,2005-09-14,2005,60.520000000000003,-143.09,60.75,216.75,117,867,0.99591004848480225,1413.111328125,27.021921406294627,steller-2005,True,,3,False
steller-2005,steller-2005,Mount Steller rock-ice avalanche,2005-09-14,2005,60.520000000000003,-143.09,60.75,217,117,868,0.99382007122039795,1311.09912109375,26.041398899817548,steller-2005,True,,4,False
