candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,year,window,hours,mean_t2m_k
dickson-2023,72.75,333,True,1996,7d,168,260.34286499023438
dickson-2023,72.75,333,True,1996,7d_buffered,168,261.16033935546875
dickson-2023,72.75,333,True,1996,30d,720,261.87939453125
dickson-2023,72.75,333,True,1996,event_day,24,257.511474609375
dickson-2023,72.75,333,True,1997,2d,48,254.52229309082031
dickson-2023,72.75,333,True,1997,7d,168,259.01473999023438
dickson-2023,72.75,333,True,1997,7d_buffered,168,260.4576416015625
dickson-2023,72.75,333,True,1997,30d,720,262.53521728515625
dickson-2023,72.75,333,True,1997,event_day,24,255.26036071777344
dickson-2023,72.75,333,True,1998,2d,48,256.91317749023438
dickson-2023,72.75,333,True,1998,7d,168,256.492919921875
dickson-2023,72.75,333,True,1998,7d_buffered,168,256.66058349609375
dickson-2023,72.75,333,True,1998,30d,720,263.35256958007812
dickson-2023,72.75,333,True,1998,event_day,24,259.27841186523438
dickson-2023,72.75,333,True,1999,2d,48,254.85777282714844
dickson-2023,72.75,333,True,1999,7d,168,256.51031494140625
dickson-2023,72.75,333,True,1999,7d_buffered,168,257.57669067382812
dickson-2023,72.75,333,True,1999,30d,720,262.27017211914062
dickson-2023,72.75,333,True,1999,event_day,24,253.28865051269531
dickson-2023,72.75,333,True,2000,2d,48,256.0418701171875
dickson-2023,72.75,333,True,2000,7d,168,258.194580078125
dickson-2023,72.75,333,True,2000,7d_buffered,168,258.95297241210938
dickson-2023,72.75,333,True,2000,30d,720,263.34487915039062
dickson-2023,72.75,333,True,2000,event_day,24,255.0662841796875
dickson-2023,72.75,333,True,2001,2d,48,259.97463989257812
dickson-2023,72.75,333,True,2001,7d,168,261.85699462890625
dickson-2023,72.75,333,True,2001,7d_buffered,168,262.27145385742188
dickson-2023,72.75,333,True,2001,30d,720,263.96847534179688
dickson-2023,72.75,333,True,2001,event_day,24,256.81582641601562
dickson-2023,72.75,333,True,2002,2d,48,269.18121337890625
dickson-2023,72.75,333,True,2002,7d,168,267.68118286132812
dickson-2023,72.75,333,True,2002,7d_buffered,168,267.14361572265625
dickson-2023,72.75,333,True,2002,30d,720,263.25851440429688
dickson-2023,72.75,333,True,2002,event_day,24,266.37905883789062
dickson-2023,72.75,333,True,2003,2d,48,261.81179809570312
dickson-2023,72.75,333,True,2003,7d,168,262.46206665039062
dickson-2023,72.75,333,True,2003,7d_buffered,168,262.446533203125
dickson-2023,72.75,333,True,2003,30d,720,265.05535888671875
dickson-2023,72.75,333,True,2003,event_day,24,259.65655517578125
dickson-2023,72.75,333,True,2004,2d,48,256.00921630859375
dickson-2023,72.75,333,True,2004,7d,168,259.16336059570312
dickson-2023,72.75,333,True,2004,7d_buffered,168,260.41055297851562
dickson-2023,72.75,333,True,2004,30d,720,264.4210205078125
dickson-2023,72.75,333,True,2004,event_day,24,255.01188659667969
dickson-2023,72.75,333,True,2005,2d,48,257.06289672851562
dickson-2023,72.75,333,True,2005,7d,168,257.13479614257812
dickson-2023,72.75,333,True,2005,7d_buffered,168,257.7109375
dickson-2023,72.75,333,True,2005,30d,720,260.59744262695312
dickson-2023,72.75,333,True,2005,event_day,24,256.86923217773438
dickson-2023,72.75,333,True,2006,2d,48,263.1690673828125
dickson-2023,72.75,333,True,2006,7d,168,260.4898681640625
dickson-2023,72.75,333,True,2006,7d_buffered,168,259.80044555664062
dickson-2023,72.75,333,True,2006,30d,720,263.59970092773438
dickson-2023,72.75,333,True,2006,event_day,24,264.82369995117188
dickson-2023,72.75,333,True,2007,2d,48,255.43650817871094
dickson-2023,72.75,333,True,2007,7d,168,257.45648193359375
dickson-2023,72.75,333,True,2007,7d_buffered,168,258.01129150390625
dickson-2023,72.75,333,True,2007,30d,720,261.32626342773438
dickson-2023,72.75,333,True,2007,event_day,24,252.93403625488281
dickson-2023,72.75,333,True,2008,2d,48,264.71920776367188
dickson-2023,72.75,333,True,2008,7d,168,265.26715087890625
dickson-2023,72.75,333,True,2008,7d_buffered,168,265.43685913085938
dickson-2023,72.75,333,True,2008,30d,720,266.1019287109375
dickson-2023,72.75,333,True,2008,event_day,24,259.2347412109375
dickson-2023,72.75,333,True,2009,2d,48,261.89999389648438
dickson-2023,72.75,333,True,2009,7d,168,261.02383422851562
dickson-2023,72.75,333,True,2009,7d_buffered,168,260.43643188476562
dickson-2023,72.75,333,True,2009,30d,720,262.80157470703125
dickson-2023,72.75,333,True,2009,event_day,24,256.38018798828125
dickson-2023,72.75,333,True,2010,2d,48,265.3914794921875
dickson-2023,72.75,333,True,2010,7d,168,266.59921264648438
dickson-2023,72.75,333,True,2010,7d_buffered,168,266.84445190429688
dickson-2023,72.75,333,True,2010,30d,720,266.7176513671875
dickson-2023,72.75,333,True,2010,event_day,24,260.3817138671875
dickson-2023,72.75,333,True,2011,2d,48,258.36575317382812
dickson-2023,72.75,333,True,2011,7d,168,259.2813720703125
dickson-2023,72.75,333,True,2011,7d_buffered,168,259.59268188476562
dickson-2023,72.75,333,True,2011,30d,720,263.3846435546875
dickson-2023,72.75,333,True,2011,event_day,24,259.57589721679688
dickson-2023,72.75,333,True,2012,2d,48,259.95040893554688
dickson-2023,72.75,333,True,2012,7d,168,257.16128540039062
dickson-2023,72.75,333,True,2012,7d_buffered,168,256.66653442382812
dickson-2023,72.75,333,True,2012,30d,720,261.87551879882812
dickson-2023,72.75,333,True,2012,event_day,24,261.55709838867188
dickson-2023,72.75,333,True,2013,2d,48,260.98196411132812
dickson-2023,72.75,333,True,2013,7d,168,261.3223876953125
dickson-2023,72.75,333,True,2013,7d_buffered,168,261.90875244140625
dickson-2023,72.75,333,True,2013,30d,720,265.90359497070312
dickson-2023,72.75,333,True,2013,event_day,24,256.52053833007812
dickson-2023,72.75,333,True,2014,2d,48,264.0902099609375
dickson-2023,72.75,333,True,2014,7d,168,260.69378662109375
dickson-2023,72.75,333,True,2014,7d_buffered,168,259.9456787109375
dickson-2023,72.75,333,True,2014,30d,720,264.41815185546875
dickson-2023,72.75,333,True,2014,event_day,24,264.14840698242188
dickson-2023,72.75,333,True,2015,2d,48,258.54751586914062
dickson-2023,72.75,333,True,2015,7d,168,262.67669677734375
dickson-2023,72.75,333,True,2015,7d_buffered,168,263.54849243164062
dickson-2023,72.75,333,True,2015,30d,720,264.98995971679688
dickson-2023,72.75,333,True,2015,event_day,24,260.9915771484375
dickson-2023,72.75,333,True,2016,2d,48,263.44677734375
dickson-2023,72.75,333,True,2016,7d,168,264.45980834960938
dickson-2023,72.75,333,True,2016,7d_buffered,168,263.67562866210938
dickson-2023,72.75,333,True,2016,30d,720,263.56671142578125
dickson-2023,72.75,333,True,2016,event_day,24,262.07052612304688
dickson-2023,72.75,333,True,2017,2d,48,260.62258911132812
dickson-2023,72.75,333,True,2017,7d,168,259.53121948242188
dickson-2023,72.75,333,True,2017,7d_buffered,168,259.65728759765625
dickson-2023,72.75,333,True,2017,30d,720,263.35330200195312
dickson-2023,72.75,333,True,2017,event_day,24,265.88156127929688
dickson-2023,72.75,333,True,2018,2d,48,258.172119140625
dickson-2023,72.75,333,True,2018,7d,168,264.36761474609375
dickson-2023,72.75,333,True,2018,7d_buffered,168,265.71099853515625
dickson-2023,72.75,333,True,2018,30d,720,262.23684692382812
dickson-2023,72.75,333,True,2018,event_day,24,255.17570495605469
dickson-2023,72.75,333,True,2019,2d,48,252.52705383300781
dickson-2023,72.75,333,True,2019,7d,168,255.30450439453125
dickson-2023,72.75,333,True,2019,7d_buffered,168,256.49771118164062
dickson-2023,72.75,333,True,2019,30d,720,261.83367919921875
dickson-2023,72.75,333,True,2019,event_day,24,256.152099609375
dickson-2023,72.75,333,True,2020,2d,48,253.37890625
dickson-2023,72.75,333,True,2020,7d,168,256.43862915039062
dickson-2023,72.75,333,True,2020,7d_buffered,168,257.55709838867188
dickson-2023,72.75,333,True,2020,30d,720,263.54495239257812
dickson-2023,72.75,333,True,2020,event_day,24,255.25386047363281
dickson-2023,72.75,333,True,2021,2d,48,263.36825561523438
dickson-2023,72.75,333,True,2021,7d,168,263.16043090820312
dickson-2023,72.75,333,True,2021,7d_buffered,168,263.19256591796875
dickson-2023,72.75,333,True,2021,30d,720,265.86782836914062
dickson-2023,72.75,333,True,2021,event_day,24,259.54403686523438
dickson-2023,72.75,333,True,2022,2d,48,261.10324096679688
dickson-2023,72.75,333,True,2022,7d,168,264.20150756835938
dickson-2023,72.75,333,True,2022,7d_buffered,168,264.80963134765625
dickson-2023,72.75,333,True,2022,30d,720,265.59884643554688
dickson-2023,72.75,333,True,2022,event_day,24,261.20053100585938
dickson-2023,72.75,333,True,2023,2d,48,257.66177368164062
dickson-2023,72.75,333,True,2023,7d,168,260.098876953125
dickson-2023,72.75,333,True,2023,7d_buffered,168,260.65625
dickson-2023,72.75,333,True,2023,30d,720,266.0430908203125
dickson-2023,72.75,333,True,2023,event_day,24,256.82403564453125
dickson-2023,72.75,333,True,2024,2d,48,256.90777587890625
dickson-2023,72.75,333,True,2024,7d,168,260.76165771484375
dickson-2023,72.75,333,True,2024,7d_buffered,168,261.91323852539062
dickson-2023,72.75,333,True,2024,30d,720,264.97149658203125
dickson-2023,72.75,333,True,2024,event_day,24,255.16943359375
dickson-2023,72.75,333,True,2025,2d,48,263.95648193359375
dickson-2023,72.75,333,True,2025,7d,168,268.34323120117188
dickson-2023,72.75,333,True,2025,7d_buffered,168,268.972900390625
dickson-2023,72.75,333,True,2025,30d,720,269.25955200195312
dickson-2023,72.75,333,True,2025,event_day,24,259.47140502929688
dickson-2023,72.75,333.25,False,1979,2d,48,255.1806640625
dickson-2023,72.75,333.25,False,1979,7d,168,257.61788940429688
dickson-2023,72.75,333.25,False,1979,7d_buffered,168,258.197021484375
dickson-2023,72.75,333.25,False,1979,30d,720,262.3907470703125
dickson-2023,72.75,333.25,False,1979,event_day,24,252.59382629394531
dickson-2023,72.75,333.25,False,1980,2d,48,253.4638671875
dickson-2023,72.75,333.25,False,1980,7d,168,257.24594116210938
dickson-2023,72.75,333.25,False,1980,7d_buffered,168,258.51251220703125
dickson-2023,72.75,333.25,False,1980,30d,720,263.30023193359375
dickson-2023,72.75,333.25,False,1980,event_day,24,250.81529235839844
dickson-2023,72.75,333.25,False,1981,2d,48,262.37814331054688
dickson-2023,72.75,333.25,False,1981,7d,168,262.10748291015625
dickson-2023,72.75,333.25,False,1981,7d_buffered,168,261.95281982421875
dickson-2023,72.75,333.25,False,1981,30d,720,262.65121459960938
dickson-2023,72.75,333.25,False,1981,event_day,24,259.974365234375
dickson-2023,72.75,333.25,False,1982,2d,48,255.3338623046875
dickson-2023,72.75,333.25,False,1982,7d,168,255.82798767089844
dickson-2023,72.75,333.25,False,1982,7d_buffered,168,256.30679321289062
dickson-2023,72.75,333.25,False,1982,30d,720,260.97586059570312
dickson-2023,72.75,333.25,False,1982,event_day,24,254.6588134765625
dickson-2023,72.75,333.25,False,1983,2d,48,264.81564331054688
dickson-2023,72.75,333.25,False,1983,7d,168,263.47763061523438
dickson-2023,72.75,333.25,False,1983,7d_buffered,168,263.16839599609375
dickson-2023,72.75,333.25,False,1983,30d,720,263.89959716796875
dickson-2023,72.75,333.25,False,1983,event_day,24,263.630126953125
dickson-2023,72.75,333.25,False,1984,2d,48,261.76870727539062
dickson-2023,72.75,333.25,False,1984,7d,168,259.2972412109375
dickson-2023,72.75,333.25,False,1984,7d_buffered,168,259.36492919921875
dickson-2023,72.75,333.25,False,1984,30d,720,264.9210205078125
dickson-2023,72.75,333.25,False,1984,event_day,24,264.14132690429688
dickson-2023,72.75,333.25,False,1985,2d,48,257.89840698242188
dickson-2023,72.75,333.25,False,1985,7d,168,256.871337890625
dickson-2023,72.75,333.25,False,1985,7d_buffered,168,257.137451171875
dickson-2023,72.75,333.25,False,1985,30d,720,262.15982055664062
dickson-2023,72.75,333.25,False,1985,event_day,24,254.69755554199219
dickson-2023,72.75,333.25,False,1986,2d,48,262.03842163085938
dickson-2023,72.75,333.25,False,1986,7d,168,262.48004150390625
dickson-2023,72.75,333.25,False,1986,7d_buffered,168,262.11309814453125
dickson-2023,72.75,333.25,False,1986,30d,720,263.64376831054688
