candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
flat-creek-2013,7d,4,-1,168
flat-creek-2013,7d,4,0,167
flat-creek-2013,7d,4,1,97
flat-creek-2013,7d,4,2,15
flat-creek-2013,7d,6.5,-1,168
flat-creek-2013,7d,6.5,0,167
flat-creek-2013,7d,6.5,1,45
flat-creek-2013,7d,6.5,2,0
flat-creek-2013,7d,9,-1,168
flat-creek-2013,7d,9,0,167
flat-creek-2013,7d,9,1,4
flat-creek-2013,7d,9,2,0
flat-creek-2013,7d_buffered,4,-1,168
flat-creek-2013,7d_buffered,4,0,167
flat-creek-2013,7d_buffered,4,1,112
flat-creek-2013,7d_buffered,4,2,15
flat-creek-2013,7d_buffered,6.5,-1,168
flat-creek-2013,7d_buffered,6.5,0,167
flat-creek-2013,7d_buffered,6.5,1,48
flat-creek-2013,7d_buffered,6.5,2,0
flat-creek-2013,7d_buffered,9,-1,168
flat-creek-2013,7d_buffered,9,0,167
flat-creek-2013,7d_buffered,9,1,4
flat-creek-2013,7d_buffered,9,2,0
taan-2015,7d,4,-1,130
taan-2015,7d,4,0,36
taan-2015,7d,4,1,0
taan-2015,7d,4,2,0
taan-2015,7d,6.5,-1,166
taan-2015,7d,6.5,0,36
taan-2015,7d,6.5,1,0
taan-2015,7d,6.5,2,0
taan-2015,7d,9,-1,168
taan-2015,7d,9,0,36
taan-2015,7d,9,1,0
taan-2015,7d,9,2,0
taan-2015,7d_buffered,4,-1,130
taan-2015,7d_buffered,4,0,32
taan-2015,7d_buffered,4,1,0
taan-2015,7d_buffered,4,2,0
taan-2015,7d_buffered,6.5,-1,166
taan-2015,7d_buffered,6.5,0,32
taan-2015,7d_buffered,6.5,1,0
taan-2015,7d_buffered,6.5,2,0
taan-2015,7d_buffered,9,-1,168
taan-2015,7d_buffered,9,0,32
taan-2015,7d_buffered,9,1,0
taan-2015,7d_buffered,9,2,0
pedersen-2024,7d,4,-1,168
pedersen-2024,7d,4,0,168
pedersen-2024,7d,4,1,163
pedersen-2024,7d,4,2,70
pedersen-2024,7d,6.5,-1,168
pedersen-2024,7d,6.5,0,168
pedersen-2024,7d,6.5,1,131
pedersen-2024,7d,6.5,2,4
pedersen-2024,7d,9,-1,168
pedersen-2024,7d,9,0,168
pedersen-2024,7d,9,1,37
pedersen-2024,7d,9,2,0
pedersen-2024,7d_buffered,4,-1,168
pedersen-2024,7d_buffered,4,0,168
pedersen-2024,7d_buffered,4,1,158
pedersen-2024,7d_buffered,4,2,72
pedersen-2024,7d_buffered,6.5,-1,168
pedersen-2024,7d_buffered,6.5,0,168
pedersen-2024,7d_buffered,6.5,1,121
pedersen-2024,7d_buffered,6.5,2,4
pedersen-2024,7d_buffered,9,-1,168
pedersen-2024,7d_buffered,9,0,168
pedersen-2024,7d_buffered,9,1,37
pedersen-2024,7d_buffered,9,2,0
tracy-arm-2025,7d,4,-1,168
tracy-arm-2025,7d,4,0,168
tracy-arm-2025,7d,4,1,138
tracy-arm-2025,7d,4,2,43
tracy-arm-2025,7d,6.5,-1,168
tracy-arm-2025,7d,6.5,0,168
tracy-arm-2025,7d,6.5,1,93
tracy-arm-2025,7d,6.5,2,0
tracy-arm-2025,7d,9,-1,168
tracy-arm-2025,7d,9,0,168
tracy-arm-2025,7d,9,1,12
tracy-arm-2025,7d,9,2,0
tracy-arm-2025,7d_buffered,4,-1,168
tracy-arm-2025,7d_buffered,4,0,168
tracy-arm-2025,7d_buffered,4,1,138
tracy-arm-2025,7d_buffered,4,2,40
tracy-arm-2025,7d_buffered,6.5,-1,168
tracy-arm-2025,7d_buffered,6.5,0,168
tracy-arm-2025,7d_buffered,6.5,1,83
tracy-arm-2025,7d_buffered,6.5,2,0
tracy-arm-2025,7d_buffered,9,-1,168
tracy-arm-2025,7d_buffered,9,0,168
tracy-arm-2025,7d_buffered,9,1,16
tracy-arm-2025,7d_buffered,9,2,0
elliot-creek-2020,7d,4,-1,120
elliot-creek-2020,7d,4,0,4
elliot-creek-2020,7d,4,1,0
elliot-creek-2020,7d,4,2,0
elliot-creek-2020,7d,6.5,-1,168
elliot-creek-2020,7d,6.5,0,4
elliot-creek-2020,7d,6.5,1,0
elliot-creek-2020,7d,6.5,2,0
elliot-creek-2020,7d,9,-1,168
elliot-creek-2020,7d,9,0,4
elliot-creek-2020,7d,9,1,0
elliot-creek-2020,7d,9,2,0
elliot-creek-2020,7d_buffered,4,-1,108
elliot-creek-2020,7d_buffered,4,0,0
elliot-creek-2020,7d_buffered,4,1,0
elliot-creek-2020,7d_buffered,4,2,0
elliot-creek-2020,7d_buffered,6.5,-1,168
elliot-creek-2020,7d_buffered,6.5,0,0
elliot-creek-2020,7d_buffered,6.5,1,0
elliot-creek-2020,7d_buffered,6.5,2,0
elliot-creek-2020,7d_buffered,9,-1,168
elliot-creek-2020,7d_buffered,9,0,0
elliot-creek-2020,7d_buffered,9,1,0
elliot-creek-2020,7d_buffered,9,2,0
chehalis-2007,7d,4,-1,138
chehalis-2007,7d,4,0,59
chehalis-2007,7d,4,1,4
chehalis-2007,7d,4,2,0
chehalis-2007,7d,6.5,-1,161
chehalis-2007,7d,6.5,0,59
chehalis-2007,7d,6.5,1,3
chehalis-2007,7d,6.5,2,0
chehalis-2007,7d,9,-1,168
chehalis-2007,7d,9,0,59
chehalis-2007,7d,9,1,0
chehalis-2007,7d,9,2,0
chehalis-2007,7d_buffered,4,-1,138
chehalis-2007,7d_buffered,4,0,53
chehalis-2007,7d_buffered,4,1,0
chehalis-2007,7d_buffered,4,2,0
chehalis-2007,7d_buffered,6.5,-1,161
chehalis-2007,7d_buffered,6.5,0,53
chehalis-2007,7d_buffered,6.5,1,0
chehalis-2007,7d_buffered,6.5,2,0
chehalis-2007,7d_buffered,9,-1,168
chehalis-2007,7d_buffered,9,0,53
chehalis-2007,7d_buffered,9,1,0
chehalis-2007,7d_buffered,9,2,0
kolka-2002,7d,4,-1,168
kolka-2002,7d,4,0,167
kolka-2002,7d,4,1,147
kolka-2002,7d,4,2,86
kolka-2002,7d,6.5,-1,168
kolka-2002,7d,6.5,0,167
kolka-2002,7d,6.5,1,114
kolka-2002,7d,6.5,2,21
kolka-2002,7d,9,-1,168
kolka-2002,7d,9,0,167
kolka-2002,7d,9,1,64
kolka-2002,7d,9,2,0
kolka-2002,7d_buffered,4,-1,168
kolka-2002,7d_buffered,4,0,168
kolka-2002,7d_buffered,4,1,161
kolka-2002,7d_buffered,4,2,98
kolka-2002,7d_buffered,6.5,-1,168
kolka-2002,7d_buffered,6.5,0,168
kolka-2002,7d_buffered,6.5,1,127
kolka-2002,7d_buffered,6.5,2,21
kolka-2002,7d_buffered,9,-1,168
kolka-2002,7d_buffered,9,0,168
