candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,window,event_year,event_mean_t2m_k,reference_median_t2m_k,warm_state_anomaly_k,warm_state_rank,theil_sen_k_per_decade,fitted_change_1991_to_event_k,linear_trend_residual_rank,dependence_component,component_representative
aru-1-2016,34,82,True,2d,2016,278.50161743164062,279.3515625,-0.849945068359375,0.41379310344827586,0.24200439453125,0.605010986328125,0.32758620689655171,aru-1-2016,True
aru-1-2016,34,82,True,30d,2016,279.65402221679688,277.83755493164062,1.81646728515625,0.82758620689655171,0.35146077473958337,0.87865193684895837,0.7931034482758621,aru-1-2016,True
aru-1-2016,34,82,True,7d,2016,279.96817016601562,278.89923095703125,1.068939208984375,0.58620689655172409,0.32389979208669351,0.80974948021673376,0.55172413793103448,aru-1-2016,True
aru-1-2016,34,82,True,7d_buffered,2016,280.2410888671875,278.9169921875,1.3240966796875,0.75862068965517238,0.40271759033203125,1.0067939758300781,0.55172413793103448,aru-1-2016,True
aru-1-2016,34,82,True,event_day,2016,277.23208618164062,278.85336303710938,-1.62127685546875,0.068965517241379309,0.19091796875,0.477294921875,0.034482758620689655,aru-1-2016,True
aru-1-2016,34,82.25,False,2d,2016,278.08505249023438,278.92782592773438,-0.8427734375,0.34482758620689657,0.230712890625,0.5767822265625,0.31034482758620691,aru-1-2016,True
aru-1-2016,34,82.25,False,30d,2016,279.041015625,277.43783569335938,1.603179931640625,0.7931034482758621,0.34143621271306818,0.85359053178267041,0.68965517241379315,aru-1-2016,True
aru-1-2016,34,82.25,False,7d,2016,279.40255737304688,278.51144409179688,0.89111328125,0.58620689655172409,0.30097755225929052,0.75244388064822632,0.55172413793103448,aru-1-2016,True
aru-1-2016,34,82.25,False,7d_buffered,2016,279.69342041015625,278.44601440429688,1.247406005859375,0.65517241379310343,0.37394205729166663,0.93485514322916663,0.58620689655172409,aru-1-2016,True
aru-1-2016,34,82.25,False,event_day,2016,276.73013305664062,278.44857788085938,-1.71844482421875,0.034482758620689655,0.21325362356085525,0.53313405890213816,0.034482758620689655,aru-1-2016,True
aru-1-2016,34.25,82,False,2d,2016,277.53515625,278.438232421875,-0.903076171875,0.37931034482758619,0.21983555385044645,0.5495888846261161,0.31034482758620691,aru-1-2016,True
aru-1-2016,34.25,82,False,30d,2016,278.48068237304688,276.72235107421875,1.758331298828125,0.82758620689655171,0.36707791415127838,0.91769478537819593,0.75862068965517238,aru-1-2016,True
aru-1-2016,34.25,82,False,7d,2016,278.71224975585938,278.142333984375,0.569915771484375,0.62068965517241381,0.326080322265625,0.8152008056640625,0.55172413793103448,aru-1-2016,True
aru-1-2016,34.25,82,False,7d_buffered,2016,278.93505859375,278.15139770507812,0.783660888671875,0.72413793103448276,0.361663818359375,0.90415954589843739,0.62068965517241381,aru-1-2016,True
aru-1-2016,34.25,82,False,event_day,2016,276.30172729492188,278.12350463867188,-1.82177734375,0.068965517241379309,0.21722864221643517,0.54307160554108791,0.034482758620689655,aru-1-2016,True
aru-1-2016,34.25,82.25,False,2d,2016,277.7674560546875,278.50003051757812,-0.732574462890625,0.37931034482758619,0.25874211237980771,0.64685528094951916,0.37931034482758619,aru-1-2016,True
aru-1-2016,34.25,82.25,False,30d,2016,278.33401489257812,276.65017700195312,1.683837890625,0.82758620689655171,0.40049235026041663,1.0012308756510415,0.75862068965517238,aru-1-2016,True
aru-1-2016,34.25,82.25,False,7d,2016,278.79214477539062,278.04986572265625,0.742279052734375,0.65517241379310343,0.35296815814393934,0.8824203953598484,0.62068965517241381,aru-1-2016,True
aru-1-2016,34.25,82.25,False,7d_buffered,2016,278.9901123046875,278.00534057617188,0.984771728515625,0.75862068965517238,0.41726777047821967,1.0431694261955493,0.65517241379310343,aru-1-2016,True
aru-1-2016,34.25,82.25,False,event_day,2016,276.52682495117188,278.09725952148438,-1.5704345703125,0.034482758620689655,0.22318522135416669,0.55796305338541674,0.034482758620689655,aru-1-2016,True
aru-2-2016,34,82.25,False,2d,2016,274.8741455078125,274.10800170898438,0.766143798828125,0.72413793103448276,0.42427756569602271,1.0606939142400569,0.51724137931034486,aru-1-2016,False
aru-2-2016,34,82.25,False,30d,2016,276.39007568359375,275.50729370117188,0.882781982421875,0.82758620689655171,0.24140456627155171,0.60351141567887934,0.72413793103448276,aru-1-2016,False
aru-2-2016,34,82.25,False,7d,2016,274.55838012695312,274.08502197265625,0.473358154296875,0.68965517241379315,0.4328971073545258,1.0822427683863145,0.48275862068965519,aru-1-2016,False
aru-2-2016,34,82.25,False,7d_buffered,2016,274.62448120117188,274.24038696289062,0.38409423828125,0.72413793103448276,0.45998408876616381,1.1499602219154095,0.55172413793103448,aru-1-2016,False
aru-2-2016,34,82.25,False,event_day,2016,274.30709838867188,273.7281494140625,0.578948974609375,0.68965517241379315,0.60579740084134615,1.5144935021033654,0.48275862068965519,aru-1-2016,False
aru-2-2016,34,82.5,False,2d,2016,274.86508178710938,274.21182250976562,0.65325927734375,0.72413793103448276,0.4692840576171875,1.1732101440429688,0.51724137931034486,aru-1-2016,False
aru-2-2016,34,82.5,False,30d,2016,276.51904296875,275.57839965820312,0.940643310546875,0.82758620689655171,0.23691813151041669,0.59229532877604174,0.72413793103448276,aru-1-2016,False
aru-2-2016,34,82.5,False,7d,2016,274.52963256835938,274.33279418945312,0.19683837890625,0.62068965517241381,0.45894622802734375,1.1473655700683594,0.37931034482758619,aru-1-2016,False
aru-2-2016,34,82.5,False,7d_buffered,2016,274.625,274.42178344726562,0.203216552734375,0.65517241379310343,0.47678330365349264,1.1919582591337317,0.48275862068965519,aru-1-2016,False
aru-2-2016,34,82.5,False,event_day,2016,274.15386962890625,273.7979736328125,0.35589599609375,0.68965517241379315,0.60507812500000002,1.5126953125,0.48275862068965519,aru-1-2016,False
aru-2-2016,34.25,82.25,False,2d,2016,274.0654296875,273.51107788085938,0.554351806640625,0.65517241379310343,0.58386908637152779,1.4596727159288194,0.44827586206896552,aru-1-2016,False
aru-2-2016,34.25,82.25,False,30d,2016,275.97210693359375,274.97525024414062,0.996856689453125,0.82758620689655171,0.29520901766690344,0.73802254416725854,0.68965517241379315,aru-1-2016,False
aru-2-2016,34.25,82.25,False,7d,2016,273.90048217773438,273.69024658203125,0.210235595703125,0.65517241379310343,0.5548095703125,1.38702392578125,0.37931034482758619,aru-1-2016,False
aru-2-2016,34.25,82.25,False,7d_buffered,2016,274.01980590820312,273.66485595703125,0.354949951171875,0.68965517241379315,0.52350870768229174,1.3087717692057292,0.51724137931034486,aru-1-2016,False
aru-2-2016,34.25,82.25,False,event_day,2016,273.84170532226562,273.4296875,0.412017822265625,0.65517241379310343,0.74676513671875,1.866912841796875,0.48275862068965519,aru-1-2016,False
aru-2-2016,34.25,82.5,True,2d,2016,274.1038818359375,273.60964965820312,0.494232177734375,0.55172413793103448,0.55383046468098962,1.3845761617024741,0.41379310344827586,aru-1-2016,False
aru-2-2016,34.25,82.5,True,30d,2016,276.18923950195312,275.31076049804688,0.87847900390625,0.82758620689655171,0.29996236165364581,0.74990590413411451,0.65517241379310343,aru-1-2016,False
aru-2-2016,34.25,82.5,True,7d,2016,273.97793579101562,273.9122314453125,0.065704345703125,0.55172413793103448,0.5365426199776786,1.3413565499441964,0.37931034482758619,aru-1-2016,False
aru-2-2016,34.25,82.5,True,7d_buffered,2016,274.07681274414062,273.99652099609375,0.080291748046875,0.58620689655172409,0.54514567057291663,1.3628641764322915,0.44827586206896552,aru-1-2016,False
aru-2-2016,34.25,82.5,True,event_day,2016,273.89947509765625,273.48806762695312,0.411407470703125,0.58620689655172409,0.69959557574728259,1.7489889393682063,0.39655172413793105,aru-1-2016,False
askja-2014,65,343.25,True,2d,2014,283.39163208007812,280.85379028320312,2.537841796875,0.82758620689655171,0.543212890625,1.2493896484375,0.72413793103448276,askja-2014,True
askja-2014,65,343.25,True,30d,2014,281.8154296875,280.71871948242188,1.096710205078125,0.93103448275862066,0.34169921875000003,0.78590820312500009,0.82758620689655171,askja-2014,True
askja-2014,65,343.25,True,7d,2014,282.64926147460938,281.17446899414062,1.47479248046875,0.82758620689655171,0.35672395125679346,0.82046508789062489,0.82758620689655171,askja-2014,True
askja-2014,65,343.25,True,7d_buffered,2014,282.53704833984375,281.252685546875,1.28436279296875,0.7931034482758621,0.3338623046875,0.76788330078125,0.75862068965517238,askja-2014,True
askja-2014,65,343.25,True,event_day,2014,285.41482543945312,281.74862670898438,3.66619873046875,0.96551724137931039,0.7403564453125,1.70281982421875,0.86206896551724133,askja-2014,True
askja-2014,65,343.5,False,2d,2014,283.67483520507812,281.36932373046875,2.305511474609375,0.75862068965517238,0.52132955411585369,1.1990579744664633,0.72413793103448276,askja-2014,True
askja-2014,65,343.5,False,30d,2014,282.37591552734375,281.21636962890625,1.1595458984375,0.89655172413793105,0.3441036448759191,0.79143838321461391,0.82758620689655171,askja-2014,True
askja-2014,65,343.5,False,7d,2014,283.136474609375,281.70217895507812,1.434295654296875,0.82758620689655171,0.34474690755208337,0.79291788736979174,0.82758620689655171,askja-2014,True
askja-2014,65,343.5,False,7d_buffered,2014,283.05230712890625,281.85562133789062,1.196685791015625,0.7931034482758621,0.36475771949404762,0.83894275483630953,0.75862068965517238,askja-2014,True
askja-2014,65,343.5,False,event_day,2014,286.06204223632812,282.24844360351562,3.8135986328125,0.96551724137931039,0.73468017578125,1.6897644042968751,0.86206896551724133,askja-2014,True
askja-2014,65.25,343.25,False,2d,2014,285.02700805664062,281.88626098632812,3.1407470703125,0.82758620689655171,0.54793849135890149,1.2602585301254734,0.75862068965517238,askja-2014,True
askja-2014,65.25,343.25,False,30d,2014,283.31890869140625,281.73553466796875,1.5833740234375,0.93103448275862066,0.31768798828125,0.730682373046875,0.89655172413793105,askja-2014,True
