object_id,south,row0,rows,byte_start,byte_end,url,retrieval_mode,request_start_utc,request_complete_utc,curl_exit,http_status,requested_content_range,payload_path,payload_bytes,payload_sha256,response_header_path,response_status_line,response_date,etag,last_modified,content_length,content_range,header_bytes,header_sha256
pzi_rows_s-037,-37,15108,144,2610662400,2635545599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:24Z,2026-08-31T19:38:28Z,0,206,bytes 2610662400-2635545599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-037.rows,24883200,171a9bbcbe9575a646f30d58737ecf5d14767cb4a1ad86de9f0442a9aba95fe0,data/geographic_total/source/pzi/pzi_rows_s-037.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:25 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2610662400-2635545599/3110400000,406,859f85d2886587dcfce6b124f3b3fb21b008e53c2a5700dd1f85d7991a03273a
pzi_rows_s-036,-36,14988,144,2589926400,2614809599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:24Z,2026-08-31T19:39:01Z,0,206,bytes 2589926400-2614809599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-036.rows,24883200,cc2b9f3b09a48f59fba0062797bf06d8618583844fd06bad131412cf9855dd7a,data/geographic_total/source/pzi/pzi_rows_s-036.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:25 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2589926400-2614809599/3110400000,406,5d9ae79a51eb7a064b2ff75a297124c761b1a85361aff2e28f38d329a5bb4b88
pzi_rows_s-016,-16,12588,144,2175206400,2200089599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:27Z,2026-08-31T19:38:34Z,0,206,bytes 2175206400-2200089599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-016.rows,24883200,0999b597fc054d27db0ad5dcee486c2d0888692e0ebfb011fbc4433c5f13fa28,data/geographic_total/source/pzi/pzi_rows_s-016.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:27 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2175206400-2200089599/3110400000,406,984c80e168b2522fe71a66125a1db09762027f3907fd329fc052ef3b38970c68
pzi_rows_s-014,-14,12348,144,2133734400,2158617599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:28Z,2026-08-31T19:38:38Z,0,206,bytes 2133734400-2158617599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s-014.rows,24883200,045973b5e0ba210081c0c30dbde70168ae75788f01767457bdd7214d83a7a11c,data/geographic_total/source/pzi/pzi_rows_s-014.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:29 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 2133734400-2158617599/3110400000,406,e069128301c970c0ca228cbeaa352c26e9ac43e59eb71dfe64d8b66874eb9c64
pzi_rows_s+006,6,9948,144,1719014400,1743897599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:34Z,2026-08-31T19:38:45Z,0,206,bytes 1719014400-1743897599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+006.rows,24883200,387b1dbfaf198780e3dd7e3c1583ff1b1e6da202d5a7b7dd713eb86afcf4ebcd,data/geographic_total/source/pzi/pzi_rows_s+006.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:35 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1719014400-1743897599/3110400000,406,6d00cb77d9d65a4fa64f2f39c356a8fdd8ca64dd933fb0c7bbbca8f3c50cf92d
pzi_rows_s+027,27,7428,144,1283558400,1308441599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:37Z,2026-08-31T19:38:41Z,0,206,bytes 1283558400-1308441599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+027.rows,24883200,e82a3372ab44da178ae30050ad808d49556f79c8d99714ed007c43db31c70e5d,data/geographic_total/source/pzi/pzi_rows_s+027.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:38 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1283558400-1308441599/3110400000,406,4992d74320eea810b977e0e2576c48324a52294590ef022040542603301459bd
pzi_rows_s+029,29,7188,144,1242086400,1266969599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:38Z,2026-08-31T19:38:42Z,0,206,bytes 1242086400-1266969599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+029.rows,24883200,bb478c27b707cf0658b835ce57006a34aa87847d3b40a2af6ebcbe2810f17e52,data/geographic_total/source/pzi/pzi_rows_s+029.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:39 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1242086400-1266969599/3110400000,406,6aac005ec5a4877587134e10b4976de8e25b159efa7f486816132fd0d53c0fce
pzi_rows_s+034,34,6588,144,1138406400,1163289599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:41Z,2026-08-31T19:38:50Z,0,206,bytes 1138406400-1163289599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+034.rows,24883200,5edb5cd1eb1312ed40d3ae9435320265b69c1550e46d2a5de5ef137331dc55e7,data/geographic_total/source/pzi/pzi_rows_s+034.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:41 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1138406400-1163289599/3110400000,406,b725eec0b618089227c4092d08af64a4dee2763c1404b40418383bfd0d94a475
pzi_rows_s+035,35,6468,144,1117670400,1142553599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:41Z,2026-08-31T19:39:11Z,0,206,bytes 1117670400-1142553599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+035.rows,24883200,a2314e65c764aa196e888a6b9cac35bebd2a989210eb545a3f2679880bba3c4f,data/geographic_total/source/pzi/pzi_rows_s+035.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:41 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1117670400-1142553599/3110400000,406,ebea99f74987ef5faff9671c79efd9e578eb3f8d2cc557a580970a301d7593a2
pzi_rows_s+036,36,6348,144,1096934400,1121817599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:42Z,2026-08-31T19:38:48Z,0,206,bytes 1096934400-1121817599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+036.rows,24883200,1f12515113db3d940dedd00dfbc7aaa2db8a1b32a62f25abaef7a05d8a5a0eae,data/geographic_total/source/pzi/pzi_rows_s+036.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:43 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1096934400-1121817599/3110400000,406,6a337e94a0a455f374260db3c3d088a9c29dbda11610aff0616312b826a00dc5
pzi_rows_s+037,37,6228,144,1076198400,1101081599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:45Z,2026-08-31T19:38:50Z,0,206,bytes 1076198400-1101081599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+037.rows,24883200,e371320113ec0f2a6db6349e229c4ac91a8375c7fc2fefdebac1191ae8e980a7,data/geographic_total/source/pzi/pzi_rows_s+037.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:46 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1076198400-1101081599/3110400000,406,15dcf5a4c9b86244290d5b9349e9ca0d411b44e6ea1bc8b78e3de84d78257c1d
pzi_rows_s+038,38,6108,144,1055462400,1080345599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:48Z,2026-08-31T19:39:04Z,0,206,bytes 1055462400-1080345599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+038.rows,24883200,8032d7eae233138f7e639d87521ca6f2be7d299db46f2fb7147511a8f6ecf3a0,data/geographic_total/source/pzi/pzi_rows_s+038.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:48 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1055462400-1080345599/3110400000,406,1f5155960d155efd368e5c06ffff1d6f68d2dc01ac18ba582eb1aa01f2535f09
pzi_rows_s+040,40,5868,144,1013990400,1038873599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:50Z,2026-08-31T19:38:59Z,0,206,bytes 1013990400-1038873599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+040.rows,24883200,978cae8c0c1cca59a833341811eeddd9c2f0880c2f4546b1803304ae74c1e803,data/geographic_total/source/pzi/pzi_rows_s+040.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:50 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 1013990400-1038873599/3110400000,406,a566aa7e31ed77a701c10e70b00814bf1f3f8e1f84367b266f8240f9fe0caee6
