candidate_id,window,onset_role,coordinate_uncertainty_class,quantization_gap_seconds,dependence_component,component_representative,old_pilot_overlap,onset_event_mean_t2m_k,onset_warm_state_anomaly_k,onset_warm_state_rank,onset_theil_sen_k_per_decade,onset_fitted_change_1991_to_event_k,onset_linear_trend_residual_rank,calendar_event_mean_t2m_k,calendar_warm_state_anomaly_k,calendar_warm_state_rank,calendar_theil_sen_k_per_decade,calendar_fitted_change_1991_to_event_k,calendar_linear_trend_residual_rank,delta_time_warm_state_rank,delta_time_linear_trend_residual_rank,onset_four_cell_warm_rank_min,onset_four_cell_warm_rank_max,onset_four_cell_warm_rank_range,onset_four_cell_residual_rank_min,onset_four_cell_residual_rank_max,onset_four_cell_residual_rank_range
aysen-2007-punta-cola,2d,trigger_proxy,le_1_km,3226.3099999999999,aysen-2007-punta-cola,True,False,278.42013549804688,-0.41748046875,0.37931034482758619,0.20743630149147729,0.33189808238636365,0.41379310344827586,278.01846313476562,-1.229248046875,0.20689655172413793,0.33203125,0.53125,0.20689655172413793,0.17241379310344826,0.20689655172413793,0.27586206896551724,0.37931034482758619,0.10344827586206895,0.34482758620689657,0.41379310344827586,0.068965517241379282
aysen-2007-punta-cola,30d,trigger_proxy,le_1_km,3226.3099999999999,aysen-2007-punta-cola,True,False,280.02322387695312,-0.623748779296875,0.34482758620689657,0.24117606026785715,0.38588169642857145,0.2413793103448276,280.06906127929688,-0.66015625,0.34482758620689657,0.25058144017269735,0.40093030427631576,0.2413793103448276,0,0,0.31034482758620691,0.34482758620689657,0.034482758620689669,0.2413793103448276,0.31034482758620691,0.068965517241379309
aysen-2007-punta-cola,7d,trigger_proxy,le_1_km,3226.3099999999999,aysen-2007-punta-cola,True,False,278.37384033203125,-1.05389404296875,0.2413793103448276,0.41568879158266131,0.66510206653225812,0.20689655172413793,278.17926025390625,-1.256988525390625,0.13793103448275862,0.42730712890625,0.68369140625000002,0.17241379310344829,0.10344827586206898,0.034482758620689641,0.20689655172413793,0.34482758620689657,0.13793103448275865,0.17241379310344829,0.37931034482758619,0.2068965517241379
bukadaban-2022,2d,source_failure,le_5_km,3420,bukadaban-2022,True,True,258.81854248046875,2.0505218505859375,0.69999999999999996,0.51519954905790444,1.5971186020795036,0.59999999999999998,258.47683715820312,1.7147369384765625,0.66666666666666663,0.55995941162109375,1.7358741760253906,0.56666666666666665,0.033333333333333326,0.033333333333333326,0.53333333333333333,0.76666666666666672,0.23333333333333339,0.43333333333333335,0.76666666666666672,0.33333333333333337
bukadaban-2022,30d,source_failure,le_5_km,3420,bukadaban-2022,True,True,260.1915283203125,-0.1349334716796875,0.43333333333333335,0.73366605318509603,2.2743647648737979,0.083333333333333329,260.2261962890625,-0.150054931640625,0.43333333333333335,0.73982932350852282,2.2934709028764209,0.066666666666666666,0,0.016666666666666663,0.43333333333333335,0.59999999999999998,0.16666666666666663,0.066666666666666666,0.23333333333333334,0.16666666666666669
bukadaban-2022,7d,source_failure,le_5_km,3420,bukadaban-2022,True,True,258.17575073242188,0.916961669921875,0.66666666666666663,0.45580741686698723,1.4130029922876604,0.53333333333333333,258.00912475585938,0.7501220703125,0.66666666666666663,0.43092398807920257,1.335864363045528,0.43333333333333335,0,0.099999999999999978,0.36666666666666664,0.66666666666666663,0.29999999999999999,0.33333333333333331,0.53333333333333333,0.20000000000000001
denali-black-rapids-e-2002,2d,trigger_proxy,le_1_km,761.51800000000003,denali-black-rapids-e-2002,True,False,269.08935546875,9.394439697265625,1,0.25831742720170459,0.284149169921875,1,267.74356079101562,7.853546142578125,0.96551724137931039,0.41072172277113966,0.45179389504825362,0.96551724137931039,0.034482758620689613,0.034482758620689613,0.96551724137931039,1,0.034482758620689613,0.96551724137931039,1,0.034482758620689613
denali-black-rapids-e-2002,30d,trigger_proxy,le_1_km,761.51800000000003,denali-black-rapids-e-2002,True,False,269.13031005859375,6.10406494140625,1,0.49434661865234375,0.54378128051757812,1,268.9581298828125,5.65478515625,1,0.509033203125,0.5599365234375,1,0,0,1,1,0,1,1,0
denali-black-rapids-e-2002,7d,trigger_proxy,le_1_km,761.51800000000003,denali-black-rapids-e-2002,True,False,269.42025756835938,10.350372314453125,1,0.34072383757560487,0.37479622133316531,1,269.184326171875,9.46856689453125,1,0.45671251085069448,0.50238376193576395,1,0,0,0.96551724137931039,1,0.034482758620689613,1,1,0
denali-black-rapids-m-2002,2d,trigger_proxy,le_1_km,761.51800000000003,denali-black-rapids-e-2002,False,False,269.08935546875,9.394439697265625,1,0.25831742720170459,0.284149169921875,1,267.74356079101562,7.853546142578125,0.96551724137931039,0.41072172277113966,0.45179389504825362,0.96551724137931039,0.034482758620689613,0.034482758620689613,0.96551724137931039,1,0.034482758620689613,0.96551724137931039,1,0.034482758620689613
