candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,window,event_year,event_mean_t2m_k,reference_median_t2m_k,warm_state_anomaly_k,warm_state_rank,theil_sen_k_per_decade,fitted_change_1991_to_event_k,linear_trend_residual_rank,dependence_component,component_representative
aysen-2007-punta-cola,-45.5,287,False,onset,2d,2007,279.28659057617188,279.7054443359375,-0.418853759765625,0.37931034482758619,0.24272373744419645,0.3883579799107143,0.37931034482758619,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287,False,onset,30d,2007,280.921875,281.25833129882812,-0.336456298828125,0.34482758620689657,0.22150675455729169,0.35441080729166669,0.27586206896551724,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287,False,onset,7d,2007,279.58554077148438,280.27261352539062,-0.68707275390625,0.31034482758620691,0.39752960205078125,0.63604736328125,0.2413793103448276,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287.25,True,onset,2d,2007,278.42013549804688,278.83761596679688,-0.41748046875,0.37931034482758619,0.20743630149147729,0.33189808238636365,0.41379310344827586,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287.25,True,onset,30d,2007,280.02322387695312,280.64697265625,-0.623748779296875,0.34482758620689657,0.24117606026785715,0.38588169642857145,0.2413793103448276,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287.25,True,onset,7d,2007,278.37384033203125,279.427734375,-1.05389404296875,0.2413793103448276,0.41568879158266131,0.66510206653225812,0.20689655172413793,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287,False,onset,2d,2007,279.33267211914062,279.513427734375,-0.180755615234375,0.34482758620689657,0.2260894775390625,0.36174316406250001,0.34482758620689657,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287,False,onset,30d,2007,280.91921997070312,281.25399780273438,-0.33477783203125,0.34482758620689657,0.22692645037615741,0.36308232060185186,0.31034482758620691,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287,False,onset,7d,2007,280.010498046875,280.242431640625,-0.23193359375,0.34482758620689657,0.39453506469726562,0.631256103515625,0.37931034482758619,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287.25,False,onset,2d,2007,277.89981079101562,278.63992309570312,-0.7401123046875,0.27586206896551724,0.17574187247983872,0.28118699596774194,0.34482758620689657,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287.25,False,onset,30d,2007,279.80389404296875,280.42208862304688,-0.618194580078125,0.31034482758620691,0.23746588291266024,0.37994541266025639,0.2413793103448276,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287.25,False,onset,7d,2007,278.09381103515625,279.328369140625,-1.23455810546875,0.20689655172413793,0.4571685791015625,0.73146972656249998,0.17241379310344829,aysen-2007-punta-cola,True
