candidate_id,onset_role,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
taan-2015,source_failure,6.5,2,0
taan-2015,source_failure,9,-1,168
taan-2015,source_failure,9,0,51
taan-2015,source_failure,9,1,0
taan-2015,source_failure,9,2,0
pedersen-2024,source_failure,4,-1,168
pedersen-2024,source_failure,4,0,168
pedersen-2024,source_failure,4,1,163
pedersen-2024,source_failure,4,2,78
pedersen-2024,source_failure,6.5,-1,168
pedersen-2024,source_failure,6.5,0,168
pedersen-2024,source_failure,6.5,1,139
pedersen-2024,source_failure,6.5,2,4
pedersen-2024,source_failure,9,-1,168
pedersen-2024,source_failure,9,0,168
pedersen-2024,source_failure,9,1,37
pedersen-2024,source_failure,9,2,0
la-perouse-2014,source_failure,4,-1,12
la-perouse-2014,source_failure,4,0,0
la-perouse-2014,source_failure,4,1,0
la-perouse-2014,source_failure,4,2,0
la-perouse-2014,source_failure,6.5,-1,21
la-perouse-2014,source_failure,6.5,0,0
la-perouse-2014,source_failure,6.5,1,0
la-perouse-2014,source_failure,6.5,2,0
la-perouse-2014,source_failure,9,-1,42
la-perouse-2014,source_failure,9,0,0
la-perouse-2014,source_failure,9,1,0
la-perouse-2014,source_failure,9,2,0
lamplugh-2016,source_failure,4,-1,168
lamplugh-2016,source_failure,4,0,164
lamplugh-2016,source_failure,4,1,96
lamplugh-2016,source_failure,4,2,0
lamplugh-2016,source_failure,6.5,-1,168
lamplugh-2016,source_failure,6.5,0,164
lamplugh-2016,source_failure,6.5,1,14
lamplugh-2016,source_failure,6.5,2,0
lamplugh-2016,source_failure,9,-1,168
lamplugh-2016,source_failure,9,0,164
lamplugh-2016,source_failure,9,1,0
lamplugh-2016,source_failure,9,2,0
lituya-2012,source_failure,4,-1,168
lituya-2012,source_failure,4,0,93
lituya-2012,source_failure,4,1,4
lituya-2012,source_failure,4,2,0
lituya-2012,source_failure,6.5,-1,168
lituya-2012,source_failure,6.5,0,93
lituya-2012,source_failure,6.5,1,0
lituya-2012,source_failure,6.5,2,0
lituya-2012,source_failure,9,-1,168
lituya-2012,source_failure,9,0,93
lituya-2012,source_failure,9,1,0
lituya-2012,source_failure,9,2,0
tracy-arm-2025,source_failure,4,-1,168
tracy-arm-2025,source_failure,4,0,168
tracy-arm-2025,source_failure,4,1,141
tracy-arm-2025,source_failure,4,2,52
tracy-arm-2025,source_failure,6.5,-1,168
tracy-arm-2025,source_failure,6.5,0,168
tracy-arm-2025,source_failure,6.5,1,101
tracy-arm-2025,source_failure,6.5,2,0
tracy-arm-2025,source_failure,9,-1,168
tracy-arm-2025,source_failure,9,0,168
tracy-arm-2025,source_failure,9,1,16
tracy-arm-2025,source_failure,9,2,0
meager-2010,source_failure,4,-1,168
meager-2010,source_failure,4,0,168
meager-2010,source_failure,4,1,168
meager-2010,source_failure,4,2,144
meager-2010,source_failure,6.5,-1,168
meager-2010,source_failure,6.5,0,168
meager-2010,source_failure,6.5,1,161
meager-2010,source_failure,6.5,2,97
meager-2010,source_failure,9,-1,168
meager-2010,source_failure,9,0,168
meager-2010,source_failure,9,1,134
meager-2010,source_failure,9,2,20
marmolada-2022,source_failure,4,-1,168
marmolada-2022,source_failure,4,0,168
marmolada-2022,source_failure,4,1,168
marmolada-2022,source_failure,4,2,168
marmolada-2022,source_failure,6.5,-1,168
marmolada-2022,source_failure,6.5,0,168
marmolada-2022,source_failure,6.5,1,168
marmolada-2022,source_failure,6.5,2,129
marmolada-2022,source_failure,9,-1,168
marmolada-2022,source_failure,9,0,168
marmolada-2022,source_failure,9,1,164
marmolada-2022,source_failure,9,2,62
thurwieser-2004,source_failure,4,-1,168
thurwieser-2004,source_failure,4,0,161
thurwieser-2004,source_failure,4,1,101
thurwieser-2004,source_failure,4,2,36
thurwieser-2004,source_failure,6.5,-1,168
thurwieser-2004,source_failure,6.5,0,161
thurwieser-2004,source_failure,6.5,1,55
thurwieser-2004,source_failure,6.5,2,3
thurwieser-2004,source_failure,9,-1,168
thurwieser-2004,source_failure,9,0,161
thurwieser-2004,source_failure,9,1,26
thurwieser-2004,source_failure,9,2,0
kolka-2002,source_failure,4,-1,168
kolka-2002,source_failure,4,0,163
kolka-2002,source_failure,4,1,145
kolka-2002,source_failure,4,2,80
kolka-2002,source_failure,6.5,-1,168
kolka-2002,source_failure,6.5,0,163
kolka-2002,source_failure,6.5,1,110
kolka-2002,source_failure,6.5,2,19
kolka-2002,source_failure,9,-1,168
kolka-2002,source_failure,9,0,163
kolka-2002,source_failure,9,1,58
kolka-2002,source_failure,9,2,0
bukadaban-2022,source_failure,4,-1,0
bukadaban-2022,source_failure,4,0,0
bukadaban-2022,source_failure,4,1,0
bukadaban-2022,source_failure,4,2,0
bukadaban-2022,source_failure,6.5,-1,0
