candidate_id,window,onset_role,old_warm_state_anomaly_k,old_warm_state_rank,old_linear_trend_residual_rank,calendar_warm_state_anomaly_k,calendar_warm_state_rank,calendar_linear_trend_residual_rank,onset_warm_state_anomaly_k,onset_warm_state_rank,onset_linear_trend_residual_rank,delta_coordinate_warm_state_rank,delta_coordinate_linear_trend_residual_rank,delta_time_warm_state_rank,delta_time_linear_trend_residual_rank,delta_combined_warm_state_rank,delta_combined_linear_trend_residual_rank
bukadaban-2022,2d,source_failure,1.7147369384765625,0.66666666666666663,0.56666666666666665,1.7147369384765625,0.66666666666666663,0.56666666666666665,2.0505218505859375,0.69999999999999996,0.59999999999999998,0,0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326
bukadaban-2022,30d,source_failure,-0.150054931640625,0.43333333333333335,0.066666666666666666,-0.150054931640625,0.43333333333333335,0.066666666666666666,-0.1349334716796875,0.43333333333333335,0.083333333333333329,0,0,0,0.016666666666666663,0,0.016666666666666663
bukadaban-2022,7d,source_failure,0.7501220703125,0.66666666666666663,0.43333333333333335,0.7501220703125,0.66666666666666663,0.43333333333333335,0.916961669921875,0.66666666666666663,0.53333333333333333,0,0,0,0.099999999999999978,0,0.099999999999999978
dickson-2023,2d,source_failure,-1.764312744140625,0.33333333333333331,0.23333333333333334,-1.764312744140625,0.33333333333333331,0.23333333333333334,-1.91461181640625,0.33333333333333331,0.26666666666666666,0,0,0,0.033333333333333326,0,0.033333333333333326
dickson-2023,30d,source_failure,2.690155029296875,0.93333333333333335,0.83333333333333337,2.690155029296875,0.93333333333333335,0.83333333333333337,2.667816162109375,0.93333333333333335,0.83333333333333337,0,0,0,0,0,0
dickson-2023,7d,source_failure,-0.29742431640625,0.43333333333333335,0.26666666666666666,-0.29742431640625,0.43333333333333335,0.26666666666666666,-0.686553955078125,0.40000000000000002,0.23333333333333334,0,0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326
hillary-2014,2d,source_failure,3.40618896484375,0.86206896551724133,0.82758620689655171,3.40618896484375,0.86206896551724133,0.82758620689655171,2.53717041015625,0.82758620689655171,0.82758620689655171,0,0,-0.034482758620689613,0,-0.034482758620689613,0
hillary-2014,30d,source_failure,1.473846435546875,0.82758620689655171,0.86206896551724133,1.473846435546875,0.82758620689655171,0.86206896551724133,1.525787353515625,0.82758620689655171,0.86206896551724133,0,0,0,0,0,0
hillary-2014,7d,source_failure,2.78515625,0.89655172413793105,0.86206896551724133,2.78515625,0.89655172413793105,0.86206896551724133,3.030120849609375,0.89655172413793105,0.86206896551724133,0,0,0,0,0,0
karrat-2017,2d,source_failure,-0.6878662109375,0.34482758620689657,0.31034482758620691,-0.6878662109375,0.34482758620689657,0.31034482758620691,-1.90972900390625,0.2413793103448276,0.20689655172413793,0,0,-0.10344827586206898,-0.10344827586206898,-0.10344827586206898,-0.10344827586206898
karrat-2017,30d,source_failure,-0.1728515625,0.48275862068965519,0.48275862068965519,-0.1728515625,0.48275862068965519,0.48275862068965519,-0.47747802734375,0.41379310344827586,0.44827586206896552,0,0,-0.068965517241379337,-0.034482758620689669,-0.068965517241379337,-0.034482758620689669
karrat-2017,7d,source_failure,-0.727325439453125,0.37931034482758619,0.37931034482758619,-0.727325439453125,0.37931034482758619,0.37931034482758619,-0.733978271484375,0.37931034482758619,0.37931034482758619,0,0,0,0,0,0
kolka-2002,2d,source_failure,-2.849517822265625,0.17241379310344829,0.17241379310344829,-2.849517822265625,0.17241379310344829,0.17241379310344829,-4.35809326171875,0.10344827586206896,0.10344827586206896,0,0,-0.068965517241379323,-0.068965517241379323,-0.068965517241379323,-0.068965517241379323
kolka-2002,30d,source_failure,-0.59637451171875,0.20689655172413793,0.31034482758620691,-0.59637451171875,0.20689655172413793,0.31034482758620691,-0.7530517578125,0.20689655172413793,0.27586206896551724,0,0,0,-0.034482758620689669,0,-0.034482758620689669
