"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-04-00018","04","04-01","G279749E73587N",1018733,817,"2001-07-29T00:00:00",-80.25137567724717,73.586892,17,0.085486178483001,0,0,0,9,"",0,-80.2433136166801,73.5878773274103,599.3973,862.7179,752.5739,744.8274,32.32359,49.60241,2.0,"COPDEM30",481
"RGI2000-v7.0-G-04-00019","04","04-01","G279715E73587N",1018728,817,"2001-07-29T00:00:00",-80.28574748798967,73.59125,17,3.301381493891587,0,0,0,9,"",0,-80.31956331546125,73.60107718108571,518.7959,1354.5316,733.439,776.9385,13.205781,357.5819811820984,1.0,"COPDEM30",3224
"RGI2000-v7.0-G-04-00020","04","04-01","G279674E73587N",1018725,817,"2001-07-29T00:00:00",-80.32635217241379,73.5873675,17,0.665699959474101,0,0,0,9,"",0,-80.33125184472443,73.59478216958237,548.89966,1334.1874,867.2929,878.92145,26.34245,328.58036613464355,8.0,"COPDEM30",1938
"RGI2000-v7.0-G-04-00021","04","04-01","G279683E73520N",1018720,817,"2001-07-29T00:00:00",-80.35092733998503,73.597544,17,54.70619446483064,0,0,0,9,"",0,-80.17436034959182,73.68377458693324,72.204346,1503.505,736.8266,694.06976,9.807121,10.633426,1.0,"COPDEM90",23588
"RGI2000-v7.0-G-04-00022","04","04-01","G279616E73616N",1018712,817,"1999-08-11T00:00:00",-80.38368090799032,73.61564999999999,17,0.061643421007279,0,0,0,9,"",0,-80.38114057428498,73.61724032749694,753.25934,826.3034,784.821,785.939,11.518733,23.57351,2.0,"COPDEM30",424
"RGI2000-v7.0-G-04-00023","04","04-01","G279605E73617N",1018708,817,"1999-08-11T00:00:00",-80.39527380378854,73.61690200000001,17,0.054223682918702,0,0,0,9,"",0,-80.39466318392529,73.61832026113085,737.66675,814.8431,780.7514,780.14746,15.535804,15.614474,1.0,"COPDEM30",377
"RGI2000-v7.0-G-04-00024","04","04-01","G279616E73630N",1018713,817,"1999-08-11T00:00:00",-80.38446891419771,73.6301445,17,0.124483380624153,0,0,0,9,"",0,-80.40209523475002,73.6325957078802,443.4135,519.6333,483.8723,483.5463,7.781073,344.233229637146,1.0,"COPDEM30",1010
"RGI2000-v7.0-G-04-00025","04","04-01","G279625E73634N",1018715,817,"1999-08-11T00:00:00",-80.37512391297133,73.6335645,17,0.106692990275962,0,0,0,9,"",0,-80.37437665476709,73.63522024072537,455.22543,585.332,501.00177,507.90558,22.836334,12.235676,1.0,"COPDEM30",461
"RGI2000-v7.0-G-04-00026","04","04-01","G279643E73635N",1018717,817,"1999-08-11T00:00:00",-80.35672421673524,73.63489799999999,17,0.020804512873174,0,0,0,9,"",0,-80.35490518709834,73.63562448607928,405.08936,429.81793,415.19873,415.6717,12.806516,61.261745,2.0,"COPDEM30",185
"RGI2000-v7.0-G-04-00027","04","04-01","G279643E73646N",1018718,817,"1999-08-11T00:00:00",-80.35658769135803,73.6466085,17,0.125867692531724,0,0,0,9,"",0,-80.35395524264952,73.64896183239865,342.59894,560.8204,375.39374,401.10672,24.126026,59.82288,2.0,"COPDEM30",669
"RGI2000-v7.0-G-04-00028","04","04-01","G279618E73653N",1018710,817,"1999-08-11T00:00:00",-80.3854417619863,73.6545935,17,0.113100633067616,0,0,0,9,"",0,-80.37978579624048,73.65674238734604,362.14124,697.732,483.41226,498.72302,30.998087,23.112213,2.0,"COPDEM30",726
"RGI2000-v7.0-G-04-00029","04","04-01","G279599E73654N",1018707,817,"1999-08-11T00:00:00",-80.40198793721973,73.65256,17,0.057761900421787,0,0,0,9,"",0,-80.40181736426742,73.65405083297972,496.46472,642.8516,587.2256,581.31,27.336706,2.3156126,1.0,"COPDEM30",301
"RGI2000-v7.0-G-04-00030","04","04-01","G279563E73624N",1018704,817,"1999-08-11T00:00:00",-80.42645966724137,73.628755,17,5.264017446745519,0,0,0,9,"",0,-80.45547992147839,73.64447516573009,337.90094,848.15356,538.93616,542.6185,10.722668,14.84389,1.0,"COPDEM30",4601
"RGI2000-v7.0-G-04-00031","04","04-01","G279457E73609N",1018696,817,"1999-08-11T00:00:00",-80.52842569694162,73.606255,17,42.41848436836681,0,0,0,9,"",0,-80.66435631701255,73.64136164173979,204.81758,1445.1682,636.54156,695.7729,8.347266,341.45915031433105,1.0,"COPDEM90",12976
"RGI2000-v7.0-G-04-00032","04","04-01","G279464E73593N",1018695,817,"1999-08-11T00:00:00",-80.53553666304347,73.593278,17,0.113026636001522,0,0,0,9,"",0,-80.54273733445935,73.59404801730831,1017.8336,1132.6038,1046.4424,1054.2953,17.380718,17.643276,1.0,"COPDEM30",548
"RGI2000-v7.0-G-04-00033","04","04-01","G279410E73582N",1018690,817,"1999-08-11T00:00:00",-80.58958719205889,73.5823595,17,0.09286402286014,0,0,0,9,"",0,-80.58805245660783,73.58113389624769,1128.0575,1199.8319,1162.8938,1163.0269,6.212369,239.082763671875,6.0,"COPDEM30",776
"RGI2000-v7.0-G-04-00034","04","04-01","G279389E73580N",1018685,817,"1999-08-11T00:00:00",-80.61117753789127,73.580158,17,0.0495147889168,0,0,0,9,"",0,-80.6123604735092,73.57921829056558,1086.7714,1124.7231,1097.6526,1100.1837,8.325223,207.97393798828125,6.0,"COPDEM30",267
"RGI2000-v7.0-G-04-00035","04","04-01","G279392E73578N",1018687,817,"1999-08-11T00:00:00",-80.60747034066111,73.57747950000001,17,0.019245402668291,0,0,0,9,"",0,-80.60863345774479,73.5768162461394,974.2489,1045.4265,1014.59924,1014.16,27.914999,183.3822479248047,5.0,"COPDEM30",151
"RGI2000-v7.0-G-04-00036","04","04-01","G279357E73575N",1018683,817,"2001-07-29T00:00:00",-80.6432471607143,73.57480050000001,17,0.016663857482861,0,0,0,9,"",0,-80.64357465178385,73.57418363039523,1017.08765,1062.8041,1038.2969,1039.3888,18.37568,218.47976684570312,6.0,"COPDEM30",163
"RGI2000-v7.0-G-04-00037","04","04-01","G279341E73570N",1018681,817,"2001-07-29T00:00:00",-80.6563959135472,73.5700965,17,0.434071394448539,0,0,0,9,"",0,-80.68062169356627,73.56760586608061,595.67413,981.10657,784.4874,790.9639,22.331137,275.95970916748047,7.0,"COPDEM30",1365
"RGI2000-v7.0-G-04-00038","04","04-01","G279330E73586N",1018680,817,"1999-08-11T00:00:00",-80.6701004239394,73.58560750000001,17,0.226276834784327,0,0,0,9,"",0,-80.66640068045216,73.58841176597066,1029.3741,1227.3773,1121.888,1126.1754,17.59319,22.296003,1.0,"COPDEM30",645
"RGI2000-v7.0-G-04-00039","04","04-01","G279326E73595N",1018679,817,"1999-08-11T00:00:00",-80.6740287894737,73.5951255,17,0.167671848919927,0,0,0,9,"",0,-80.67274776070997,73.5973625196635,807.6017,1037.452,934.1371,932.84906,28.271517,30.148418,2.0,"COPDEM30",526
"RGI2000-v7.0-G-04-00040","04","04-01","G279354E73593N",1018682,817,"1999-08-11T00:00:00",-80.64552752203647,73.593002,17,2.348544373456214,0,0,0,9,"",0,-80.66086520580299,73.60138601705476,513.268,1135.2927,723.4043,761.7088,13.3239975,337.76355171203613,1.0,"COPDEM30",2982
"RGI2000-v7.0-G-04-00041","04","04-01","G279394E73599N",1018688,817,"1999-08-11T00:00:00",-80.60589968813412,73.5988535,17,3.279119668236556,0,0,0,9,"",0,-80.63404807657975,73.61620761633644,429.69177,1194.2533,738.47473,802.7907,13.787412,337.2149200439453,8.0,"COPDEM30",4316
"RGI2000-v7.0-G-04-00042","04","04-01","G279304E73589N",1018674,817,"1999-08-11T00:00:00",-80.7026701861106,73.5916015,17,1.773141133351504,0,0,0,9,"",0,-80.70618185924401,73.60317579609384,535.5384,1222.7076,793.3796,830.33154,17.014656,325.2352485656738,8.0,"COPDEM30",2989
"RGI2000-v7.0-G-04-00043","04","04-01","G279267E73590N",1018668,817,"1999-08-11T00:00:00",-80.73422030059304,73.5907945,17,0.130801767569095,0,0,0,9,"",0,-80.73992021068706,73.5933277615615,511.07242,832.74994,637.5765,644.68243,25.84878,315.64818572998047,8.0,"COPDEM30",816
"RGI2000-v7.0-G-04-00044","04","04-01","G279263E73585N",1018667,817,"1999-08-11T00:00:00",-80.73747706648103,73.585437,17,0.053085278116086,0,0,0,9,"",0,-80.74477525542872,73.58571339248526,604.9378,887.57874,731.06714,734.5869,31.412104,296.43312072753906,8.0,"COPDEM30",528
"RGI2000-v7.0-G-04-00045","04","04-01","G279275E73584N",1018671,817,"1999-08-11T00:00:00",-80.72546125973054,73.5837445,17,0.039161337265233,0,0,0,9,"",0,-80.72516711818383,73.58456572954559,938.60535,1001.5925,967.91785,968.6026,21.150648,318.9479789733887,8.0,"COPDEM30",243
"RGI2000-v7.0-G-04-00046","04","04-01","G279250E73585N",1018665,817,"1999-08-11T00:00:00",-80.75203304848485,73.584205,17,0.318712967114999,0,0,0,9,"",0,-80.76082693203753,73.58861572894823,455.22473,908.644,589.4978,610.6372,25.031885,341.57107734680176,1.0,"COPDEM30",1175
"RGI2000-v7.0-G-04-00047","04","04-01","G279379E73562N",1018689,817,"2001-07-29T00:00:00",-80.59125063625062,73.56475649999999,17,9.851863031548941,0,0,0,9,"",0,-80.75458583337597,73.55823945278608,268.4319,1442.503,755.8962,772.6094,14.926056,303.4331359863281,8.0,"COPDEM30",7904
"RGI2000-v7.0-G-04-00048","04","04-01","G279441E73515N",1018693,817,"2001-07-29T00:00:00",-80.57397049330359,73.51297650000001,17,3.008585411065835,0,0,0,9,"",0,-80.64177763583456,73.51608379106156,316.78204,1071.6866,749.6259,742.09143,14.843991,287.7242431640625,7.0,"COPDEM30",4120
