candidate_id,matching_level,pool_size,rgi_id,digest,rank,selected
bukadaban-2022,1,40,RGI2000-v7.0-G-13-49988,01c5244d5ba329aee29708664e98aa8a8530a2f70c2dc8375dd11e5c1aa137d9,1,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52234,030b60064ed08e9b602a85b6ecbddeac7d9bd371996dd49bac9847d7efc864d1,2,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53221,1516a17da369fd6fd69b5b66fd7c67d728d1e54b29080945cf6a703e0d894eee,3,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53508,1bbd01247976b645b707cbb90d8dc55694b503c032f777c7a47379e236c423dc,4,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52244,1d62512c1a40d9f72e8b68ab9cb01e02720a8de13283842becf5ddda04bd626f,5,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53615,201dd0d9c28bfdacdd328533b18e9e0689ee69b2fac48c736d973193bd9536bb,6,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52162,226d4ea6daea3d9192b81102fd2aa49ac399ea54b388d61afe79c83b5d4e9349,7,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53645,2b993ce2c680f92fcaa8e482466478423faf37193ca527054ec7cae35b919f58,8,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53220,2e525c4bdfe287d902e2d8efd24336161e103faac28bfaf7d1b69d971ff420f8,9,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52233,2e731e91ddea379c8f28182bd98730714c05cc6caa0735e778c907dddf386cd4,10,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-50011,30668fd0192185f0f779bcc3e3cb75e490f469f0fadc47efe4128e51d37c9b3d,11,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-50879,3fb25e9af3e81f9e850c5c67d0ca845313b880d4886581d9456eb48ff4730107,12,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52026,440f9d48ec9dae02224cdb73b021291dee8321d36fd523d1b35fd1822dca0588,13,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52183,4769bc9573e607d8e3309362a047b9bcdd9b3c7e8426df3f5a682e902f8c46cb,14,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52164,4aace031afebafa9c51f5cc037f71ee27d14555ab0c3408bebff4c1db0b53a3d,15,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53505,57bd139cd7e0bb6583dda018bed6251803e3f7cd2e9aa03050c94ce9658a4d27,16,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52155,5f8a284862d66681e01bcfdb45f88e23524af08657ba93cac6a2d727bd1e816f,17,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53774,64642d60e342e57a238d6731a5fd4a83985f75555ab7ad5bbec824d022392b27,18,True
bukadaban-2022,1,40,RGI2000-v7.0-G-13-53617,648cf1bfb59513bca570447a3c1ce49a72bd2bb4f7da821097ea2e2327448809,19,True
