candidate_id,final_cluster,endpoint,case_value,control_median,contrast,midrank_percentile,missing_reason
aru-1-2016,site-aru,t2m_trend_k_decade,0.40236769766881181,0.31079354621473504,0.09157415145407677,54.76190476190476,
aru-1-2016,site-aru,slope_deg,19.545611999999998,16.3506525,3.1949594999999995,59.523809523809526,
aru-2-2016,site-aru,t2m_trend_k_decade,0.40236769766881181,0.2879939990187911,0.11437369865002073,69.04761904761905,
aru-2-2016,site-aru,slope_deg,20.385870000000001,16.6215155,3.7643544999999996,88.0952380952381,
bukadaban-2022,bukadaban-2022,t2m_trend_k_decade,0.46275453235039676,0.37722799786990036,0.08552653448049641,78.57142857142857,
bukadaban-2022,bukadaban-2022,slope_deg,21.690725,13.6027715,8.087953500000001,88.0952380952381,
flat-creek-2013,flat-creek-2013,t2m_trend_k_decade,-0.47068547706108294,-0.3557923829152345,-0.11489309414584842,21.428571428571427,
flat-creek-2013,flat-creek-2013,slope_deg,26.937225000000002,23.5504655,3.3867595,64.28571428571429,
kunlun-b2-2001,bukadaban-2022,t2m_trend_k_decade,0.28182163144071148,0.5020616225046768,-0.2202399910639653,16.666666666666668,
kunlun-b2-2001,bukadaban-2022,slope_deg,24.385760000000001,17.9836225,6.402137500000002,88.0952380952381,
kunlun-b4-2001,bukadaban-2022,t2m_trend_k_decade,0.28182163144071148,0.5093856578447327,-0.22756402640402118,11.904761904761905,
kunlun-b4-2001,bukadaban-2022,slope_deg,23.959205999999998,17.655741,6.303464999999999,88.0952380952381,
kunlun-k2-2001,bukadaban-2022,t2m_trend_k_decade,0.30978176956547876,0.41985499943897464,-0.11007322987349588,26.19047619047619,
kunlun-k2-2001,bukadaban-2022,slope_deg,14.270578,23.8395195,-9.568941500000001,7.142857142857143,
petra-dp19,petra-dp19,t2m_trend_k_decade,0.69911912006110521,0.6111961908720415,0.08792292918906375,78.57142857142857,
petra-dp19,petra-dp19,slope_deg,34.860267999999998,22.7671465,12.093121499999999,92.85714285714286,
shuraki-kapali-2017,petra-dp19,t2m_trend_k_decade,0.50195786363496764,0.4020011700034921,0.09995669363147552,83.33333333333333,
shuraki-kapali-2017,petra-dp19,slope_deg,22.161629000000001,23.781959,-1.6203299999999992,30.952380952380953,
tinguiririca-2007,tinguiririca-2007,t2m_trend_k_decade,0.55581867981109645,0.5292333991956547,0.026585280615441742,54.76190476190476,
tinguiririca-2007,tinguiririca-2007,slope_deg,31.525908000000001,25.599757500000003,5.9261504999999985,73.80952380952381,
