rgi_id,index_year,t2m_trend_k_decade,t2m_change_k,t2m_hac_se_k_decade,theil_sen_k_decade,slope_deg,missing_reason
RGI2000-v7.0-G-01-13024,2013,-0.36447933640723906,-0.69251073917375416,0.31508420621239075,-0.37954205849330569,21.023031,
RGI2000-v7.0-G-01-13121,2013,-0.29510854576260909,-0.56070623694895727,0.26043292083259201,-0.32757169356075838,23.0139,
RGI2000-v7.0-G-01-13173,2013,-0.24710246595794433,-0.4694946853200942,0.23254315498910899,-0.27020079742936581,20.665711999999999,
RGI2000-v7.0-G-01-13781,2013,-0.27069663601385691,-0.51432360842632807,0.2293995691925198,-0.30471667789278456,35.326965000000001,
RGI2000-v7.0-G-01-13786,2013,-0.27069663601385691,-0.51432360842632807,0.2293995691925198,-0.30471667789278456,42.894843999999999,
RGI2000-v7.0-G-01-14039,2013,-0.61967867008745658,-1.1773894731661674,0.29201626950047921,-0.58100874156310145,28.610014,
RGI2000-v7.0-G-01-14085,2013,-0.61249854119446556,-1.1637472282694845,0.30185376464816238,-0.58736163185558199,29.008738000000001,
RGI2000-v7.0-G-01-14110,2013,-0.61967867008745658,-1.1773894731661674,0.29201626950047921,-0.58100874156310145,23.957455,
RGI2000-v7.0-G-01-14140,2013,-0.47068547706108294,-0.89430240641605752,0.34613358845018616,-0.39287134560108961,26.937225000000002,
RGI2000-v7.0-G-01-14149,2013,-0.47769610200860479,-0.90762259381634913,0.32254047231943705,-0.41914776161781397,19.651236000000001,
RGI2000-v7.0-G-01-14376,2013,-0.34984844930110776,-0.66471205367210473,0.27716949925001838,-0.34532823185405614,31.75656,
RGI2000-v7.0-G-01-14381,2013,-0.34984844930110776,-0.66471205367210473,0.27716949925001838,-0.34532823185405614,30.579977,
RGI2000-v7.0-G-01-14580,2013,-0.26460275642007536,-0.50274523719814312,0.27003061790214394,-0.28301928786085284,20.233374000000001,
RGI2000-v7.0-G-01-14630,2013,-0.32388982259492577,-0.61539066293035893,0.26490965862841587,-0.37947194846111476,17.442778000000001,
RGI2000-v7.0-G-01-16095,2013,-0.38251050148422527,-0.72676995282002799,0.26296814599266977,-0.43513987907494267,22.188744,
RGI2000-v7.0-G-01-16128,2013,-0.38507496364534088,-0.73164243092614767,0.26536199373812541,-0.41594861659123561,24.354918000000001,
