candidate_id,role,rgi_id,index_year,t2m_trend_k_decade,t2m_change_k,t2m_hac_se_k_decade,slope_deg,missing_reason
aru-1-2016,case,RGI2000-v7.0-G-13-59664,2016,0.40236769766881181,0.76449862557074244,0.235773553114906,19.545611999999998,
aru-1-2016,control,RGI2000-v7.0-G-13-67932,2016,0.62941755430929192,1.1958933531876548,0.13883769737927884,17.781883000000001,
aru-1-2016,control,RGI2000-v7.0-G-13-64675,2016,0.1036036741389034,0.19684698086391644,0.44668464808767799,20.526419000000001,
aru-1-2016,control,RGI2000-v7.0-G-13-64411,2016,0.132112874482195,0.25101446151617046,0.27954447103832225,26.747322,
aru-1-2016,control,RGI2000-v7.0-G-13-65720,2016,0.34748632732499346,0.66022402191748764,0.29078769709780455,20.942335,
aru-1-2016,control,RGI2000-v7.0-G-13-58740,2016,0.24140409850210753,0.4586677871540043,0.30527457135536445,12.447787,
aru-1-2016,control,RGI2000-v7.0-G-13-65809,2016,0.40913278496457933,0.77735229143270079,0.22691079277804765,12.717871000000001,
aru-1-2016,control,RGI2000-v7.0-G-13-60124,2016,0.90091072285201834,1.7117303734188347,0.30432787679291978,11.710402,
aru-1-2016,control,RGI2000-v7.0-G-13-67219,2016,0.77470767948181873,1.4719445910154556,0.17904674808831647,14.372877000000001,
aru-1-2016,control,RGI2000-v7.0-G-13-64333,2016,0.18953741836457053,0.36012109489268401,0.33082650749559728,14.8559675,
aru-1-2016,control,RGI2000-v7.0-G-13-64657,2016,0.023950712172054703,0.045506353126903931,0.43748055179139572,22.167339999999999,
aru-1-2016,control,RGI2000-v7.0-G-13-62360,2016,0.46157414898241578,0.87699088306659001,0.18685654030673216,20.386040000000001,
aru-1-2016,control,RGI2000-v7.0-G-13-66890,2016,0.72879929741601401,1.3847186650904266,0.21081440155901571,14.962806,
aru-1-2016,control,RGI2000-v7.0-G-13-60117,2016,0.87248579895147127,1.6577230180077955,0.30609789568450568,15.161701000000001,
aru-1-2016,control,RGI2000-v7.0-G-13-66450,2016,0.85135915943722118,1.6175824029307202,0.20524381035376282,24.061122999999998,
