rgi_id,latitude,longitude,intersection_area_m2,weight
RGI2000-v7.0-G-13-50011,36.75,84.75,2373539.324383,1
RGI2000-v7.0-G-13-50045,36.75,85.00,2640056.295600485,0.7714094328257729
RGI2000-v7.0-G-13-50045,36.75,85.25,782323.8092546191,0.2285905671742271
RGI2000-v7.0-G-13-50117,36.75,85.00,1742837.764309878,1
RGI2000-v7.0-G-13-50140,36.75,85.00,4115786.395743103,1
RGI2000-v7.0-G-13-50241,36.75,84.75,3315613.069814062,1
RGI2000-v7.0-G-13-50246,36.75,84.75,3613498.570407573,1
RGI2000-v7.0-G-13-50357,37.25,85.75,6133241.503434739,1
RGI2000-v7.0-G-13-50518,37.25,87.25,607641.4063188481,0.4587660823392881
RGI2000-v7.0-G-13-50518,37.25,87.50,716871.0842742485,0.5412339176607118
RGI2000-v7.0-G-13-50570,37.50,87.50,1662560.244341163,1
RGI2000-v7.0-G-13-50585,37.50,87.50,226802.4448536203,1
RGI2000-v7.0-G-13-50732,37.50,87.75,2231316.211510071,1
RGI2000-v7.0-G-13-50759,37.50,88.00,1517808.268222041,1
RGI2000-v7.0-G-13-50778,37.50,88.00,2014525.038127014,1
RGI2000-v7.0-G-13-50868,37.75,88.25,174807.1955358762,1
RGI2000-v7.0-G-13-50870,37.75,88.25,3233921.936268021,1
RGI2000-v7.0-G-13-50873,37.75,88.25,4133936.075889984,1
RGI2000-v7.0-G-13-50879,37.75,88.25,2192007.000649801,1
RGI2000-v7.0-G-13-51048,38.00,87.50,1063950.519023702,1
RGI2000-v7.0-G-13-51318,38.25,89.25,343481.7402677573,1
RGI2000-v7.0-G-13-51339,38.25,89.25,1984278.042268182,1
RGI2000-v7.0-G-13-51439,38.25,89.50,133282.6777207609,1
RGI2000-v7.0-G-13-51677,36.75,91.00,959877.8299990708,0.6176679539313483
RGI2000-v7.0-G-13-51677,36.75,91.25,594157.5119506232,0.3823320460686516
RGI2000-v7.0-G-13-51730,36.50,91.25,3754725.477858692,1
RGI2000-v7.0-G-13-51759,36.50,91.25,89280.21190801542,1
RGI2000-v7.0-G-13-51792,36.50,91.25,4189501.906760585,1
RGI2000-v7.0-G-13-51816,36.50,91.25,165672.8574031922,0.1226128242275151
RGI2000-v7.0-G-13-51816,36.50,91.50,1185514.169296207,0.8773871757724849
RGI2000-v7.0-G-13-51863,36.25,91.75,1615128.549025303,1
RGI2000-v7.0-G-13-51895,36.25,92.00,261774.1605975323,1
RGI2000-v7.0-G-13-51964,36.25,92.00,2794356.383313093,1
RGI2000-v7.0-G-13-51965,36.25,92.00,4621256.580675547,1
RGI2000-v7.0-G-13-52013,35.75,92.00,1209549.936729302,1
RGI2000-v7.0-G-13-52015,35.75,92.00,2110519.914281549,1
RGI2000-v7.0-G-13-52026,35.75,92.00,3479465.983883313,1
RGI2000-v7.0-G-13-52073,36.00,91.50,1497155.787008492,1
RGI2000-v7.0-G-13-52074,36.00,91.50,2229892.295152985,1
RGI2000-v7.0-G-13-52131,36.00,91.00,4705406.493398969,0.9029882604676305
RGI2000-v7.0-G-13-52131,36.25,91.00,505521.1558289183,0.09701173953236951
