/* DATA DESCRIPTION:
Citation:	Dohmen, Katrin; Braun, Anika; Fernandez-Steeger, Tomas Manuel (2025): A catalog of landslide-triggered tsunamis [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.979839
Abstract:	A comprehensive global catalog of landslide-triggered tsunamis (LTT) was compiled by reviewing tsunami and earthquake databases, catalogs, and scientific literature. This dataset is designed to investigate the relationship between tsunami heights and the triggering landslides' characteristics, including 354 documented cases from 6200 BC to 2024. It provides detailed information on landslide characteristics, triggering and preparatory factors, type of waterbody, tsunami wave height, inundation distance, and associated effects.
Keyword(s):	Landslides; Natural hazards; Risk assessment; tsunami
Supplement to:	Dohmen, Katrin; Blum, Philipp; Braun, Anika; Fernandez-Steeger, Tomas Manuel (in press): Landslide-triggered tsunamis - A review. Natural Hazards
Source:	References used for the catalog of landslide-triggered tsunamis (URI: https://download.pangaea.de/reference/132500/attachments/ReferencesDohmen.xlsx)
Funding:	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmftr.bund.de), grant/award no. 03G0906E: TSUNAMI_RISK (URI: https://foerderportal.bund.de/foekat/jsp/SucheAction.do?actionMode=view&fkz=03G0906E)
	LTT_BismarckSea_1969 * LATITUDE: -6.600000 * LONGITUDE: 146.900000 * METHOD/DEVICE: Literature search
	LTT_BismarckSea_1971 * LATITUDE: -6.500000 * LONGITUDE: 146.600000 * METHOD/DEVICE: Literature search
	LTT_BlackSea_1598 * LATITUDE: 40.400000 * LONGITUDE: 35.400000 * METHOD/DEVICE: Literature search
	LTT_BlackSea_1994 * LATITUDE: 45.220000 * LONGITUDE: 36.720000 * METHOD/DEVICE: Literature search
	LTT_BlackSea_2000 * LATITUDE: 45.120000 * LONGITUDE: 36.700000 * METHOD/DEVICE: Literature search
	LTT_BlackSea_2000_2 * LATITUDE: 45.120000 * LONGITUDE: 36.700000 * METHOD/DEVICE: Literature search
	LTT_BlackSea_2007 * LATITUDE: 43.000000 * LONGITUDE: 29.000000 * METHOD/DEVICE: Literature search
	LTT_BosoPeninsula_1602 * LATITUDE: 34.900000 * LONGITUDE: 139.850000 * METHOD/DEVICE: Literature search
	LTT_BritishColumbia_1949 * LATITUDE: 53.600000 * LONGITUDE: -133.300000 * METHOD/DEVICE: Literature search
	LTT_Bulukomba_1820 * LATITUDE: -5.550000 * LONGITUDE: 120.200000 * METHOD/DEVICE: Literature search
