rgi_id,o1region,o2region,glims_id,src_date,cenlon,cenlat,area_km2,conn_lvl,zmed_m,aspect_sec,dem_source,rgi_grid_spacing_m
RGI2000-v7.0-G-06-00001,06,06-01,G336179E64804N,2002-09-28T00:00:00,-23.820935048780488,64.803606,0.066757600986309,0,876.6435,7,COPDEM30,13.61724893
RGI2000-v7.0-G-06-00002,06,06-01,G336201E64805N,2002-09-28T00:00:00,-23.802585404440624,64.8047255,0.977859584327497,0,1132.6007,8,COPDEM30,23.84414961
RGI2000-v7.0-G-06-00003,06,06-01,G336196E64798N,2002-09-28T00:00:00,-23.802210149699633,64.7971135,0.751300423985996,0,1087.4595,7,COPDEM30,22.13486230
RGI2000-v7.0-G-06-00004,06,06-01,G336210E64794N,2002-09-28T00:00:00,-23.788125057957387,64.7941635,0.324936888861386,0,1269.9165,5,COPDEM30,17.98045301
RGI2000-v7.0-G-06-00005,06,06-01,G336231E64795N,2002-09-28T00:00:00,-23.767720147243107,64.795484,1.89699825424325,0,1122.4893,4,COPDEM30,29.28241836
RGI2000-v7.0-G-06-00006,06,06-01,G336247E64800N,2002-09-28T00:00:00,-23.748650052781066,64.799621,0.912252313430232,0,1023.3889,3,COPDEM30,23.37166607
RGI2000-v7.0-G-06-00007,06,06-01,G336248E64812N,2002-09-28T00:00:00,-23.74773151076555,64.812922,2.711766835622763,0,959.04895,3,COPDEM30,33.05442040
RGI2000-v7.0-G-06-00008,06,06-01,G336215E64817N,2002-09-28T00:00:00,-23.786407252650186,64.81571149999999,4.903391595076237,0,901.1257,1,COPDEM30,41.00104438
RGI2000-v7.0-G-06-00009,06,06-01,G336860E65919N,2004-08-16T00:00:00,-23.139791794871797,65.918255,0.209576461131898,0,695.60095,2,COPDEM30,16.40913304
RGI2000-v7.0-G-06-00010,06,06-01,G336878E65920N,2004-08-16T00:00:00,-23.12169794230769,65.919595,0.137586167201505,0,659.74506,1,COPDEM30,15.19296532
RGI2000-v7.0-G-06-00011,06,06-01,G336822E65944N,2004-08-16T00:00:00,-23.17757152173913,65.943675,0.055785244376069,0,737.25653,2,COPDEM30,13.30664602
RGI2000-v7.0-G-06-00012,06,06-01,G337652E66192N,2004-08-16T00:00:00,-22.357615234913908,66.19193150000001,28.849067675067577,0,652.993,7,COPDEM90,85.19585936
RGI2000-v7.0-G-06-00013,06,06-01,G337674E66221N,2004-08-16T00:00:00,-22.330038485465117,66.22044,2.573176924918197,0,690.75354,1,COPDEM30,32.45757505
RGI2000-v7.0-G-06-00014,06,06-01,G337704E66220N,2004-08-16T00:00:00,-22.299090692477876,66.217871,2.856239371895624,0,696.4117,1,COPDEM30,33.66057727
RGI2000-v7.0-G-06-00015,06,06-01,G337769E66192N,2004-08-16T00:00:00,-22.226070529113926,66.193956,23.92187557543364,0,611.7624,2,COPDEM90,78.47399224
RGI2000-v7.0-G-06-00016,06,06-01,G337755E66141N,2004-08-16T00:00:00,-22.244821197288356,66.138474,41.86336553940338,0,700.4041,6,COPDEM90,100.00000000
RGI2000-v7.0-G-06-00017,06,06-01,G337874E66135N,2004-08-16T00:00:00,-22.14667479281568,66.1377745,16.48234296564952,0,634.0005,2,COPDEM90,66.83783266
RGI2000-v7.0-G-06-00018,06,06-01,G337856E66096N,2004-08-16T00:00:00,-22.151215160117875,66.0996285,22.745552439339498,0,684.2346,6,COPDEM90,76.76921655
RGI2000-v7.0-G-06-00019,06,06-01,G337935E66096N,2004-08-16T00:00:00,-22.065076850569383,66.09341649999999,6.640187229173634,0,702.2208,4,COPDEM30,46.07598504
RGI2000-v7.0-G-06-00020,06,06-01,G337665E66278N,2004-08-16T00:00:00,-22.333774091511934,66.27795,0.24758858604375,0,370.17035,6,COPDEM30,16.96615840
RGI2000-v7.0-G-06-00021,06,06-01,G337535E66365N,2004-08-16T00:00:00,-22.46523607142857,66.365505,0.131784511747433,0,546.5734,1,COPDEM30,15.08229912
RGI2000-v7.0-G-06-00022,06,06-01,G340960E65857N,2000-08-01T00:00:00,-19.0439525,65.85758,0.473025944261555,0,811.64404,2,COPDEM30,19.62876342
RGI2000-v7.0-G-06-00023,06,06-01,G341013E65851N,2000-09-09T00:00:00,-18.98793522064862,65.851721,0.731964247757349,0,991.5117,8,COPDEM30,21.97768728
RGI2000-v7.0-G-06-00024,06,06-01,G341031E65852N,2000-09-09T00:00:00,-18.97008506928295,65.8525325,0.882005380522205,0,925.0589,2,COPDEM30,23.14811981
RGI2000-v7.0-G-06-00025,06,06-01,G341059E65848N,2000-09-09T00:00:00,-18.940461808988747,65.847711,0.057409338089195,0,1037.4214,2,COPDEM30,13.35443442
RGI2000-v7.0-G-06-00026,06,06-01,G341069E65850N,2000-09-09T00:00:00,-18.931176291176477,65.85019750000001,0.429071166168946,0,884.923,1,COPDEM30,19.17049337
RGI2000-v7.0-G-06-00027,06,06-01,G341030E65840N,2000-09-09T00:00:00,-18.971431006825,65.8394365,1.532268814833182,0,952.8987,3,COPDEM30,27.32987847
RGI2000-v7.0-G-06-00028,06,06-01,G340989E65816N,2000-09-09T00:00:00,-19.01188141191208,65.815848,1.129534758290711,0,940.6579,2,COPDEM30,24.87914018
RGI2000-v7.0-G-06-00029,06,06-01,G340969E65822N,2000-09-09T00:00:00,-19.029659793957713,65.822588,0.759093929277608,0,874.53284,1,COPDEM30,22.19763953
RGI2000-v7.0-G-06-00030,06,06-01,G340952E65826N,2000-08-01T00:00:00,-19.051235185185185,65.82659000000001,0.342971869235391,0,823.2876,1,COPDEM30,18.19893203
RGI2000-v7.0-G-06-00031,06,06-01,G341083E65818N,2000-08-01T00:00:00,-18.91708809523809,65.818825,0.194359228700595,0,1023.2322,1,COPDEM30,16.17206682
RGI2000-v7.0-G-06-00032,06,06-01,G341097E65812N,2000-08-01T00:00:00,-18.903825624999996,65.81121999999999,0.587105764261102,0,972.6806,2,COPDEM30,20.72719580
RGI2000-v7.0-G-06-00033,06,06-01,G341112E65807N,2000-08-01T00:00:00,-18.887613111111115,65.80642,0.25343926041464,0,1103.029,1,COPDEM30,17.04798518
RGI2000-v7.0-G-06-00034,06,06-01,G341130E65803N,2000-08-01T00:00:00,-18.870150000000002,65.80338,0.804253546967743,0,1040.8374,2,COPDEM30,22.55522581
RGI2000-v7.0-G-06-00035,06,06-01,G341143E65797N,2000-08-01T00:00:00,-18.856052465277777,65.798075,0.195426671837338,0,1104.1155,1,COPDEM30,16.18899246
RGI2000-v7.0-G-06-00036,06,06-01,G341154E65795N,2000-08-01T00:00:00,-18.845446666666668,65.79566,0.172150074278361,0,1077.7251,1,COPDEM30,15.80873606
RGI2000-v7.0-G-06-00037,06,06-01,G341181E65791N,2000-09-09T00:00:00,-18.81814263095238,65.790099,1.744670964147954,0,982.06573,1,COPDEM30,28.49203907
RGI2000-v7.0-G-06-00038,06,06-01,G341223E65798N,2000-09-09T00:00:00,-18.776745942372393,65.798227,0.312558975002182,0,1002.97046,7,COPDEM30,17.82697637
RGI2000-v7.0-G-06-00039,06,06-01,G341238E65807N,2000-08-01T00:00:00,-18.7607952510793,65.80629,1.201766839032301,0,977.4557,1,COPDEM30,25.34751773
RGI2000-v7.0-G-06-00040,06,06-01,G341268E65809N,2000-08-01T00:00:00,-18.73623391813755,65.808675,0.376706278975615,0,967.1103,8,COPDEM30,18.59269636
RGI2000-v7.0-G-06-00041,06,06-01,G341282E65808N,2000-08-01T00:00:00,-18.71224193989071,65.80851000000001,0.294422689655088,0,961.5412,3,COPDEM30,17.59650230
RGI2000-v7.0-G-06-00042,06,06-01,G341281E65817N,2000-09-09T00:00:00,-18.718953437228002,65.8183815,0.286384078924242,0,1013.57306,2,COPDEM30,17.49208112
