rgi_id,o1region,o2region,glims_id,src_date,cenlon,cenlat,area_km2,conn_lvl,zmed_m,aspect_sec,dem_source,rgi_grid_spacing_m
RGI2000-v7.0-G-05-00001,05,05-01,G287319E78230N,1999-07-24T00:00:00,-72.6840175,78.22961799999999,0.087347047102325,0,337.32825,8,COPDEM30,14.13763474
RGI2000-v7.0-G-05-00002,05,05-01,G287427E78214N,1999-07-24T00:00:00,-72.57129812023578,78.21461099999999,0.090965432749947,0,287.06802,7,COPDEM30,14.22246667
RGI2000-v7.0-G-05-00003,05,05-01,G287430E78209N,1999-07-24T00:00:00,-72.56844696572281,78.2094805,0.160309106787921,0,381.45074,7,COPDEM30,15.60540676
RGI2000-v7.0-G-05-00004,05,05-01,G287500E78199N,1999-07-24T00:00:00,-72.55421562095566,78.197976,0.470115491714801,0,369.54364,6,COPDEM30,19.59909560
RGI2000-v7.0-G-05-00005,05,05-01,G287465E78186N,1999-07-24T00:00:00,-72.532405975344,78.185615,0.133281485514577,0,402.9004,7,COPDEM30,15.11108317
RGI2000-v7.0-G-05-00006,05,05-01,G287537E78163N,1999-07-24T00:00:00,-72.45755451865672,78.16316800000001,0.154819945945584,0,386.35385,5,COPDEM30,15.50860322
RGI2000-v7.0-G-05-00007,05,05-01,G287570E78141N,1999-07-24T00:00:00,-72.43086154301241,78.1409535,0.054938815160823,0,528.17676,7,COPDEM30,13.28146427
RGI2000-v7.0-G-05-00008,05,05-01,G287394E78111N,1999-07-24T00:00:00,-72.6102937577544,78.112061,6.50285078711755,1,516.331,6,COPDEM30,45.70096293
RGI2000-v7.0-G-05-00009,05,05-01,G287372E78099N,1999-07-24T00:00:00,-72.63298606477167,78.0988965,0.651126061069944,0,286.69562,6,COPDEM30,21.29693356
RGI2000-v7.0-G-05-00010,05,05-01,G287458E78083N,1999-07-24T00:00:00,-72.5416178742236,78.08338549999999,0.067534714170558,0,438.4749,6,COPDEM30,13.63824188
RGI2000-v7.0-G-05-00011,05,05-01,G287491E78086N,1999-07-24T00:00:00,-72.50794817557372,78.086412,0.173801507134592,0,500.13464,5,COPDEM30,15.83653111
RGI2000-v7.0-G-05-00012,05,05-01,G287495E78079N,1999-07-24T00:00:00,-72.5024455,78.078679,0.173803283227992,0,438.2904,4,COPDEM30,15.83656093
RGI2000-v7.0-G-05-00013,05,05-01,G287493E78096N,1999-07-24T00:00:00,-72.50494554333864,78.0962855,0.264776944063991,0,567.3962,6,COPDEM30,17.20390735
RGI2000-v7.0-G-05-00014,05,05-01,G287724E78064N,1999-07-24T00:00:00,-72.27690070453136,78.0638285,0.07835579300826,0,578.34814,5,COPDEM30,13.91889467
RGI2000-v7.0-G-05-00015,05,05-01,G287800E78007N,1999-07-24T00:00:00,-72.19931889548303,78.006622,0.061235982823378,0,477.8253,1,COPDEM30,13.46442674
RGI2000-v7.0-G-05-00016,05,05-01,G287855E77987N,1999-07-24T00:00:00,-72.14550124615835,77.98765900000001,1.380833319310165,1,555.58636,7,COPDEM30,26.45124100
RGI2000-v7.0-G-05-00017,05,05-01,G287896E77986N,1999-07-24T00:00:00,-72.10147406571062,77.985715,0.993161439353369,1,697.41516,5,COPDEM30,23.95204795
RGI2000-v7.0-G-05-00018,05,05-01,G287922E77971N,1999-07-24T00:00:00,-72.07810907481414,77.97286700000001,1.777689457201809,0,273.04916,7,COPDEM30,28.66620298
RGI2000-v7.0-G-05-00019,05,05-01,G287853E77950N,1999-07-24T00:00:00,-72.1414904121118,77.950696,0.237745474429247,0,545.8342,8,COPDEM30,16.82628105
RGI2000-v7.0-G-05-00020,05,05-01,G287828E77945N,1999-07-24T00:00:00,-72.1729694629285,77.945326,0.054035286356588,0,572.26086,8,COPDEM30,13.25436878
RGI2000-v7.0-G-05-00021,05,05-01,G287813E77949N,1999-07-24T00:00:00,-72.18685301772041,77.94915549999999,0.055834035014815,0,508.1761,8,COPDEM30,13.30809173
RGI2000-v7.0-G-05-00022,05,05-01,G288129E77918N,1999-07-24T00:00:00,-71.86755464219331,77.9175995,0.191835788379765,0,516.63135,8,COPDEM30,16.13186876
RGI2000-v7.0-G-05-00023,05,05-01,G288165E77919N,1999-07-24T00:00:00,-71.8381684855645,77.9183635,0.247669950681412,0,654.76605,5,COPDEM30,16.96730295
RGI2000-v7.0-G-05-00024,05,05-01,G288162E77927N,1999-07-24T00:00:00,-71.83918385754191,77.9269085,0.26207563230801,0,390.45337,8,COPDEM30,17.16706522
RGI2000-v7.0-G-05-00025,05,05-01,G288477E77885N,1999-07-24T00:00:00,-71.52485523756422,77.8854235,0.301636492334327,0,385.67722,7,COPDEM30,17.68900205
RGI2000-v7.0-G-05-00026,05,05-01,G288596E77880N,1999-07-24T00:00:00,-71.40212332215445,77.8804085,0.057649992373988,0,455.968,5,COPDEM30,13.36145779
RGI2000-v7.0-G-05-00027,05,05-01,G288535E77941N,1999-07-24T00:00:00,-71.4654560400266,77.9407215,0.091864868604815,0,600.046,7,COPDEM30,14.24329050
RGI2000-v7.0-G-05-00028,05,05-01,G288707E77970N,1999-07-24T00:00:00,-71.292573,77.9695945,0.110773505614841,0,629.2073,6,COPDEM30,14.65957156
RGI2000-v7.0-G-05-00029,05,05-01,G288519E77989N,1999-07-24T00:00:00,-71.48162519861984,77.98870400000001,0.050434763221337,0,652.801,5,COPDEM30,13.14407595
RGI2000-v7.0-G-05-00030,05,05-01,G288923E77958N,1999-07-24T00:00:00,-71.0789525130642,77.957683,0.061241901600762,0,813.1091,4,COPDEM30,13.46459416
RGI2000-v7.0-G-05-00031,05,05-01,G289034E77959N,1999-07-24T00:00:00,-70.96789213925263,77.960308,0.279213112294578,0,717.20215,7,COPDEM30,17.39768680
RGI2000-v7.0-G-05-00032,05,05-01,G289067E77965N,1999-07-24T00:00:00,-70.93437428536443,77.96436,0.078375536125869,0,769.7112,1,COPDEM30,13.91938836
RGI2000-v7.0-G-05-00033,05,05-01,G289046E77972N,1999-07-24T00:00:00,-70.9545326118621,77.97135,0.582639271653002,0,560.1121,7,COPDEM30,20.68631355
RGI2000-v7.0-G-05-00034,05,05-01,G289028E77980N,1999-07-24T00:00:00,-70.97234093435755,77.97988000000001,0.088874030481543,0,767.47864,6,COPDEM30,14.17364469
RGI2000-v7.0-G-05-00035,05,05-01,G289035E77984N,1999-07-24T00:00:00,-70.96593164126395,77.984174,0.060488079079829,0,818.36676,7,COPDEM30,13.44320541
RGI2000-v7.0-G-05-00036,05,05-01,G289028E77938N,1999-07-24T00:00:00,-70.972604165116,77.937592,0.058543287699732,0,424.433,4,COPDEM30,13.38740083
RGI2000-v7.0-G-05-00037,05,05-01,G289095E77892N,1999-07-24T00:00:00,-70.90403881453946,77.892222,1.101441890431323,1,738.8115,8,COPDEM30,24.69294424
RGI2000-v7.0-G-05-00038,05,05-01,G289042E77849N,1999-07-24T00:00:00,-70.9081260315,77.8639295,16.920670240546926,1,674.4498,8,COPDEM90,67.58863922
RGI2000-v7.0-G-05-00039,05,05-01,G289359E77848N,1999-07-24T00:00:00,-70.787809241019,77.8637745,26.9569627015487,1,623.8395,3,COPDEM90,82.68813307
RGI2000-v7.0-G-05-00040,05,05-01,G289341E77866N,1999-07-24T00:00:00,-70.66251919646183,77.86635000000001,0.107188341221252,0,398.9242,6,COPDEM30,14.58354828
RGI2000-v7.0-G-05-00041,05,05-01,G289369E77868N,1999-07-24T00:00:00,-70.63257762065757,77.8672175,0.050448617362238,0,398.68802,2,COPDEM30,13.14450775
RGI2000-v7.0-G-05-00042,05,05-01,G289364E77873N,1999-07-24T00:00:00,-70.63652097700563,77.87283099999999,0.060347415360169,0,427.03873,4,COPDEM30,13.43919953
RGI2000-v7.0-G-05-00043,05,05-01,G289329E77874N,1999-07-24T00:00:00,-70.67227415627254,77.874358,0.062993510327442,1,501.04144,5,COPDEM30,13.51379112
RGI2000-v7.0-G-05-00044,05,05-01,G289372E77893N,1999-07-24T00:00:00,-70.66695731076743,77.89005,9.754284769767198,1,698.87775,5,COPDEM30,53.72459051
RGI2000-v7.0-G-05-00045,05,05-01,G289414E77909N,1999-07-24T00:00:00,-70.60318195641513,77.9107325,4.182238947808905,1,741.6285,2,COPDEM30,38.63073233
RGI2000-v7.0-G-05-00046,05,05-01,G289280E77917N,1999-07-24T00:00:00,-70.73087523386229,77.9158895,1.031278121270953,1,728.6397,8,COPDEM30,24.21726105
RGI2000-v7.0-G-05-00047,05,05-01,G289286E77968N,1999-07-24T00:00:00,-70.72788816489792,77.96761599999999,0.102674027875146,0,683.4043,5,COPDEM30,14.48599035
RGI2000-v7.0-G-05-00048,05,05-01,G289521E77889N,1999-07-24T00:00:00,-70.47724500599233,77.889152,0.108990087648706,0,488.01727,6,COPDEM30,14.62191056
