rgi_id,o1region,o2region,glims_id,src_date,cenlon,cenlat,area_km2,conn_lvl,zmed_m,aspect_sec,dem_source,rgi_grid_spacing_m
RGI2000-v7.0-G-09-00001,09,09-01,G036744E80149N,2010-08-06T00:00:00,36.73794078571429,80.149463,6.100811239580852,0,47.11846,6,COPDEM30,44.57974845
RGI2000-v7.0-G-09-00002,09,09-01,G045210E80588N,2006-07-19T00:00:00,45.20793018168837,80.5926375,11.688015972729831,0,173.30551,7,COPDEM30,57.86283663
RGI2000-v7.0-G-09-00003,09,09-01,G045490E80565N,2006-07-19T00:00:00,45.39733451396647,80.563979,20.111464861835046,0,202.36475,6,COPDEM90,72.78413106
RGI2000-v7.0-G-09-00004,09,09-01,G045545E80531N,2006-07-19T00:00:00,45.52111583295401,80.530907,5.288454843701095,0,161.04082,6,COPDEM30,42.19529701
RGI2000-v7.0-G-09-00005,09,09-01,G045716E80569N,2006-07-19T00:00:00,45.6989546938263,80.5523255,31.71038991478183,0,180.57259,4,COPDEM90,88.83677076
RGI2000-v7.0-G-09-00006,09,09-01,G046142E80543N,2006-07-19T00:00:00,46.20012098132272,80.5213165,86.80864434188922,0,224.02475,6,COPDEM90,100.00000000
RGI2000-v7.0-G-09-00007,09,09-01,G046316E80509N,2006-07-19T00:00:00,46.38342607142857,80.5167735,13.762727174383143,0,156.19884,4,COPDEM90,61.93740970
RGI2000-v7.0-G-09-00008,09,09-01,G046617E80573N,2006-07-19T00:00:00,46.57772274848989,80.551707,50.438362959307455,0,237.42032,5,COPDEM90,100.00000000
RGI2000-v7.0-G-09-00009,09,09-01,G046822E80574N,2006-07-19T00:00:00,46.83649108074535,80.571145,24.032984258083438,0,208.70027,4,COPDEM90,78.63282680
RGI2000-v7.0-G-09-00010,09,09-01,G046835E80629N,2006-07-19T00:00:00,46.9766679791133,80.619972,56.947709543589944,0,229.8689,4,COPDEM90,100.00000000
RGI2000-v7.0-G-09-00011,09,09-01,G047259E80654N,2006-07-19T00:00:00,47.22766016969116,80.639678,36.05032182487899,0,182.42949,3,COPDEM90,94.05868829
RGI2000-v7.0-G-09-00012,09,09-01,G046713E80697N,2006-07-19T00:00:00,46.934146199655046,80.69386449999999,63.735369219461056,0,230.03659,1,COPDEM90,100.00000000
RGI2000-v7.0-G-09-00013,09,09-01,G046389E80642N,2006-07-19T00:00:00,46.32417424841415,80.6464215,203.21699140361147,0,201.94235,8,COPDEM90,100.00000000
RGI2000-v7.0-G-09-00014,09,09-01,G046223E80466N,2006-07-19T00:00:00,46.26447213641369,80.46919600000001,15.01296975271935,0,145.53581,4,COPDEM90,64.24520321
RGI2000-v7.0-G-09-00015,09,09-01,G047054E80330N,2006-07-10T00:00:00,47.02887030084746,80.332808,24.610995299249705,0,249.61798,8,COPDEM90,79.45325823
RGI2000-v7.0-G-09-00016,09,09-01,G047240E80283N,2006-07-10T00:00:00,47.15335629204946,80.316621,61.60322573687173,0,265.70367,2,COPDEM90,100.00000000
RGI2000-v7.0-G-09-00017,09,09-01,G046882E80308N,2006-07-10T00:00:00,46.879356443290916,80.3038425,14.881781146198442,0,198.01898,1,COPDEM90,64.00767635
RGI2000-v7.0-G-09-00018,09,09-01,G046885E80273N,2006-07-10T00:00:00,46.881733197836155,80.27124,10.273255508176264,0,266.8219,6,COPDEM30,54.87268746
RGI2000-v7.0-G-09-00019,09,09-01,G046952E80244N,2006-07-10T00:00:00,46.99349416846859,80.2481635,7.196270711112566,0,193.96918,6,COPDEM30,47.55621199
RGI2000-v7.0-G-09-00020,09,09-01,G047117E80225N,2006-07-10T00:00:00,47.14955336635978,80.2196265,35.24913444876982,0,213.29575,7,COPDEM90,93.11937411
RGI2000-v7.0-G-09-00021,09,09-01,G047461E80254N,2006-07-10T00:00:00,47.291500738148976,80.2280215,25.178045027618943,0,195.90584,4,COPDEM90,80.24882081
RGI2000-v7.0-G-09-00022,09,09-01,G047361E80190N,2006-07-10T00:00:00,47.35735246099529,80.1896925,1.522093148182929,0,147.83347,5,COPDEM30,27.27223949
RGI2000-v7.0-G-09-00023,09,09-01,G047401E80186N,2006-07-10T00:00:00,47.39720969928913,80.1864995,0.347500649187211,0,192.4179,5,COPDEM30,18.25288599
RGI2000-v7.0-G-09-00024,09,09-01,G047177E80164N,2006-07-10T00:00:00,47.17748234615106,80.164398,0.636489893993785,0,133.26923,3,COPDEM30,21.16924434
RGI2000-v7.0-G-09-00025,09,09-01,G047063E80171N,2006-07-10T00:00:00,47.08211697836899,80.1695915,1.582114904632509,0,213.48717,6,COPDEM30,27.60950088
RGI2000-v7.0-G-09-00026,09,09-01,G047127E80180N,2006-07-10T00:00:00,47.12254276686592,80.185463,8.224661601268421,0,228.29123,4,COPDEM30,50.15013915
RGI2000-v7.0-G-09-00027,09,09-01,G047609E80254N,2006-07-10T00:00:00,47.593718668749986,80.24964349999999,9.646558899720766,0,206.69562,5,COPDEM30,53.48247399
RGI2000-v7.0-G-09-00028,09,09-01,G047738E80249N,2006-07-10T00:00:00,47.721557735131064,80.2499305,5.046416232251089,0,169.73755,5,COPDEM30,41.44992180
RGI2000-v7.0-G-09-00029,09,09-01,G047772E80285N,2006-07-10T00:00:00,47.79665774071428,80.2852955,3.182543878728578,0,227.05273,2,COPDEM30,34.97556006
RGI2000-v7.0-G-09-00030,09,09-01,G047963E80286N,2006-07-10T00:00:00,47.96580672074438,80.2837405,14.28851895409295,0,257.81143,1,COPDEM90,62.92022028
