rgi_id,o1region,o2region,glims_id,src_date,cenlon,cenlat,area_km2,conn_lvl,zmed_m,aspect_sec,dem_source,rgi_grid_spacing_m
RGI2000-v7.0-G-10-00001,10,10-01,G059106E63807N,2013-07-03T00:00:00,59.106496525781964,63.807303,0.087292310218453,0,982.88165,4,COPDEM30,14.13633809
RGI2000-v7.0-G-10-00002,10,10-01,G059167E63783N,2013-07-03T00:00:00,59.16683783477096,63.782993,0.166484314915257,0,891.1539,3,COPDEM30,15.71234853
RGI2000-v7.0-G-10-00003,10,10-01,G059171E63757N,2013-07-03T00:00:00,59.171020178039704,63.756668,0.134084376975857,0,964.6802,3,COPDEM30,15.12645471
RGI2000-v7.0-G-10-00004,10,10-01,G059151E63869N,2013-07-03T00:00:00,59.152297989403735,63.8691805,0.072443413794082,0,909.47986,3,COPDEM30,13.76814399
RGI2000-v7.0-G-10-00005,10,10-01,G059202E63894N,2013-07-03T00:00:00,59.202486497676574,63.8938915,0.083249063469105,0,987.75726,3,COPDEM30,14.03940793
RGI2000-v7.0-G-10-00006,10,10-01,G059165E63909N,2013-07-03T00:00:00,59.16598714494286,63.9080175,0.096293116568973,0,987.0123,3,COPDEM30,14.34435851
RGI2000-v7.0-G-10-00007,10,10-01,G059157E63911N,2013-07-03T00:00:00,59.15734213011152,63.9107945,0.030593892077745,0,1102.7917,3,COPDEM30,12.44875537
RGI2000-v7.0-G-10-00008,10,10-01,G059152E63914N,2013-07-03T00:00:00,59.151282238437005,63.9148,0.191674550455605,0,1179.1211,4,COPDEM30,16.12929130
RGI2000-v7.0-G-10-00009,10,10-01,G059274E64198N,2013-07-03T00:00:00,59.2757124630915,64.1993405,0.032407383171777,0,866.7615,2,COPDEM30,12.52028711
RGI2000-v7.0-G-10-00010,10,10-01,G059384E64288N,2013-07-03T00:00:00,59.38316309832506,64.28826849999999,0.094503219194471,0,793.4752,3,COPDEM30,14.30379263
RGI2000-v7.0-G-10-00011,10,10-01,G059519E64374N,2013-07-03T00:00:00,59.520965076350095,64.3739055,0.063908124145199,0,720.0117,2,COPDEM30,13.53920787
RGI2000-v7.0-G-10-00012,10,10-01,G059319E64400N,2013-07-03T00:00:00,59.31192349070632,64.401033,0.30242476812171,0,693.4089,2,COPDEM30,17.69904244
RGI2000-v7.0-G-10-00013,10,10-01,G059304E64420N,2013-07-03T00:00:00,59.30540456984804,64.4193685,0.176824498797616,0,806.38324,2,COPDEM30,15.88707073
RGI2000-v7.0-G-10-00014,10,10-01,G059277E64439N,2013-07-03T00:00:00,59.27703656482284,64.440023,0.219606464285332,0,691.6128,1,COPDEM30,16.56070629
RGI2000-v7.0-G-10-00015,10,10-01,G059265E64444N,2013-07-03T00:00:00,59.264283560046685,64.44431449999999,0.026101267192331,0,878.4736,2,COPDEM30,12.26182412
RGI2000-v7.0-G-10-00016,10,10-01,G059248E64456N,2013-07-03T00:00:00,59.2527601023897,64.455556,0.114285898380882,0,839.457,1,COPDEM30,14.73286764
RGI2000-v7.0-G-10-00017,10,10-01,G059224E64472N,2013-07-03T00:00:00,59.21954759665427,64.47226,0.055798214579757,0,916.29974,1,COPDEM30,13.30703040
RGI2000-v7.0-G-10-00018,10,10-01,G059294E64490N,2013-07-03T00:00:00,59.29527052914737,64.4897505,0.150722228553021,0,896.0051,2,COPDEM30,15.43521451
RGI2000-v7.0-G-10-00019,10,10-01,G059313E64470N,2013-07-03T00:00:00,59.31345544967837,64.47078400000001,0.115200147999769,0,993.6747,1,COPDEM30,14.75176062
RGI2000-v7.0-G-10-00020,10,10-01,G059323E64465N,2013-07-03T00:00:00,59.325815522786456,64.4650515,0.151650797321033,0,961.7449,2,COPDEM30,15.45193143
RGI2000-v7.0-G-10-00021,10,10-01,G059339E64457N,2013-07-03T00:00:00,59.33916029477598,64.457246,0.171903848641293,0,1048.8798,2,COPDEM30,15.80458046
RGI2000-v7.0-G-10-00022,10,10-01,G059351E64457N,2013-07-03T00:00:00,59.35119146889368,64.4571555,0.037804820542469,0,1012.8442,1,COPDEM30,12.72208465
RGI2000-v7.0-G-10-00023,10,10-01,G059474E64471N,2013-07-03T00:00:00,59.476466144183064,64.4709435,0.156616041146296,0,1008.8087,1,COPDEM30,15.54046425
RGI2000-v7.0-G-10-00024,10,10-01,G059469E64498N,2013-07-03T00:00:00,59.47275468003731,64.49731249999999,0.09900903473718,0,1181.2786,2,COPDEM30,14.40519816
RGI2000-v7.0-G-10-00025,10,10-01,G059479E64500N,2013-07-03T00:00:00,59.47725588022148,64.5000295,0.076952024372774,0,965.7052,3,COPDEM30,13.88363191
RGI2000-v7.0-G-10-00026,10,10-01,G059529E64547N,2013-07-03T00:00:00,59.527281119416,64.545452,0.081910421672979,0,1078.926,1,COPDEM30,14.00679955
RGI2000-v7.0-G-10-00027,10,10-01,G059560E64554N,2013-07-03T00:00:00,59.56069785867925,64.553616,0.078316804525348,0,1106.6729,3,COPDEM30,13.91791956
RGI2000-v7.0-G-10-00028,10,10-01,G059568E64565N,2013-07-03T00:00:00,59.567789061141,64.5644655,0.050408519370981,0,1037.3536,2,COPDEM30,13.14325783
RGI2000-v7.0-G-10-00029,10,10-01,G059544E64566N,2013-07-03T00:00:00,59.54432989385475,64.5665975,0.047707016615668,0,1061.6124,2,COPDEM30,13.05787103
